book,juan,source_kind,source_file,match_type,hint_name,sentence,status,person,role_note,reviewer
三國志,第七章:张顾诸葛步传,mirror,data/raw/mirror/三國志/吴书/第七章-张顾诸葛步传.txt,含侍中,,及登卒后，为侍中，拜羽林都督，平三典军事，迁扬武将军。,待审,,,
三國志,第七章:张顾诸葛步传,mirror,data/raw/mirror/三國志/吴书/第七章-张顾诸葛步传.txt,含侍中,,后为吴郡西部都尉，与诸葛恪等共平山越，别得精兵八千人，还屯军章坑，拜昭义中郎将，入为侍中。,待审,,,
三國志,第七章:张顾诸葛步传,mirror,data/raw/mirror/三國志/吴书/第七章-张顾诸葛步传.txt,含侍中,,遣玑与弟璿诣洛阳为任，晋以阐为都督西陵诸军事、卫将军、仪同三司，加侍中，假节领交州牧，封宜都公；,待审,,,
三國志,第三章:三嗣主传,mirror,data/raw/mirror/三國志/吴书/第三章-三嗣主传.txt,含侍中,,九月丁亥，峻卒，以从弟偏将军綝为侍中、武卫将军，领中外诸军事，召还据等。,待审,,,
三國志,第三章:三嗣主传,mirror,data/raw/mirror/三國志/吴书/第三章-三嗣主传.txt,含侍中,,“戊戌，诏曰：“大将军掌中外诸军事，事统烦多，其加卫将军御史大夫恩侍中，与大将军分省诸事。,待审,,,
三國志,第三章:三嗣主传,mirror,data/raw/mirror/三國志/吴书/第三章-三嗣主传.txt,含侍中,,元兴元年八月，以上大将军施绩、大将军丁奉为左右大司马，张布为骠骑将军，加侍中，诸增位班赏，一皆如旧。,待审,,,
三國志,第二十章:王楼贺韦华传,mirror,data/raw/mirror/三國志/吴书/第二十章-王楼贺韦华传.txt,含侍中,,孙皓即位，封高陵亭候，迁中书仆射，职省，为侍中，常领左国史。,待审,,,
三國志,第二章:吴主传,mirror,data/raw/mirror/三國志/吴书/第二章-吴主传.txt,含侍中,,魏欲遣侍中辛毗、尚书桓阶往与盟誓，并徵任子，权辞让不受。,待审,,,
三國志,第二章:吴主传,mirror,data/raw/mirror/三國志/吴书/第二章-吴主传.txt,含侍中,,故先遣使者犒劳，又遣尚书、侍中践脩前言，以定任子。,待审,,,
三國志,第八章:张严程阚薛传,mirror,data/raw/mirror/三國志/吴书/第八章-张严程阚薛传.txt,含侍中,,玄子尚，孙皓时为侍郎，以言语辩捷见知，擢为侍中、中书令。,待审,,,
三國志,第八章:张严程阚薛传,mirror,data/raw/mirror/三國志/吴书/第八章-张严程阚薛传.txt,含侍中,,嘉禾中，为中书令，加侍中。,待审,,,
三國志,第十七章:是仪胡综传,mirror,data/raw/mirror/三國志/吴书/第十七章-是仪胡综传.txt,含侍中,,既定荆州，都武昌，拜裨将军，后封都亭侯，守侍中。,待审,,,
三國志,第十七章:是仪胡综传,mirror,data/raw/mirror/三國志/吴书/第十七章-是仪胡综传.txt,含侍中,,后从太子还建业，复拜侍中、中执法，平诸官事、领辞讼如旧。,待审,,,
三國志,第十七章:是仪胡综传,mirror,data/raw/mirror/三國志/吴书/第十七章-是仪胡综传.txt,含侍中,,权下都建业，详、综并为侍中，进封乡侯，兼左右领军。,待审,,,
三國志,第十七章:是仪胡综传,mirror,data/raw/mirror/三國志/吴书/第十七章-是仪胡综传.txt,含侍中,,”此文既流行，而质已入为侍中矣。,待审,,,
