id,name,dynasty_primary,category,is_外戚,is_士人,is_降人,is_佞幸,is_宦官,is_勋贵,n_terms,n_sources,status
P0001,丁恭,东汉,士人,0,0,0,0,0,0,1,1,已校
P0002,丁鸿,东汉,士人,0,0,0,0,0,0,1,1,已校
P0003,严助,西汉,士人,0,0,0,0,0,0,1,1,已校
P0004,乐松,东汉,其他,0,0,0,0,0,0,1,1,已校
P0005,任安,东汉,士人,0,0,0,0,0,0,1,1,已校
P0006,任芝,东汉,其他,0,0,0,0,0,0,1,1,已校
P0007,伍琼,东汉,士人,0,0,0,0,0,0,1,1,已校
P0008,伏完,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0009,伏无忌,东汉,士人,0,0,0,0,0,0,1,1,已校
P0010,何休,东汉,士人,0,0,0,0,0,0,1,1,已校
P0011,何晏,魏,外戚/士人,0,0,0,0,0,0,1,1,已校
P0012,何进,东汉,外戚,0,0,0,0,0,0,1,1,已校
P0014,傅俊,东汉,勋贵,0,0,0,0,0,0,1,1,已校
P0015,傅商,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0016,傅喜,西汉,外戚,0,0,0,0,0,0,1,1,已校
P0017,傅嘉,西汉,其他,0,0,0,0,0,0,1,1,已校
P0018,傅巽,汉魏之际,士人,0,0,0,0,0,0,1,1,已校
P0019,公孙敬聲,西汉,阙,0,0,0,0,0,0,1,1,已校
P0020,关兴,蜀汉,勋贵,0,0,0,0,0,0,1,1,已校
P0021,关统,蜀汉,勋贵,0,0,0,0,0,0,1,1,已校
P0022,冯石,东汉,外戚/勋贵,0,0,0,0,0,0,1,1,已校
P0023,刘儒,东汉,士人,0,0,0,0,0,0,1,1,已校
P0024,刘劭,魏,士人,0,0,0,0,0,0,1,1,已校
P0025,刘宽,东汉,士人,0,0,0,0,0,0,1,1,已校
P0026,刘岱,东汉,士人,0,0,0,0,0,0,1,1,已校
P0027,刘平,东汉,士人,0,0,0,0,0,0,1,1,已校
P0028,刘廙,汉魏之际,士人,0,0,0,0,0,0,1,1,已校
P0029,刘恭,更始_东汉,宗室,0,0,0,0,0,0,1,1,已校
P0030,刘放,魏,士人,0,0,0,0,0,0,1,1,已校
P0031,刘昆,东汉,士人,0,0,0,0,0,0,1,1,已校
P0032,刘晔,汉魏之际,士人,0,0,0,0,0,0,1,1,已校
P0033,刘棻,新,士人,0,0,0,0,0,0,1,1,已校
P0034,刘植,东汉,勋贵,0,0,0,0,0,0,1,1,已校
P0035,刘歆,西汉,士人,0,0,0,0,0,0,1,1,已校
P0036,刘淑,东汉,士人,0,0,0,0,0,0,1,1,已校
P0037,刘珍,东汉,士人,0,0,0,0,0,0,1,1,已校
P0038,刘瑜,东汉,阙,0,0,0,0,0,0,1,1,已校
P0039,刘瑰,东汉,外戚,0,0,0,0,0,0,1,1,已校
