term_id,person_id,name,dynasty_primary,start_ym,end_ym,start_year,end_year,nature,nature_primary,evidence,book,juan,quote_head
15798,P0001,丁恭,东汉,阙,阙,44,,建武二十年拜侍中祭酒、骑都尉,见原典,有明文,后汉书,第七十五章:儒林列传下,二十年，拜侍中祭酒、骑都尉，与侍中刘昆俱在光武左右，每事咨访焉
15800,P0002,丁鸿,东汉,阙,阙,,,拜侍中；后司徒,见原典,有明文,后汉书,卷67桓荣丁鸿传,顷之，拜侍中
15806,P0004,乐松,东汉,阙,阙,,,灵帝时侍中祭酒；鸿都门下,见原典,有明文,后汉书,第五十四章:蔡邕列传下,侍中祭酒乐松、贾护，多引无行趣势之徒，并待制鸿都门下，熹陈方俗闾里小事，帝甚悦之，待以不次之位
15808,P0005,任安,东汉,阙,阙,,,稍迁侍中弘农太守,见原典,有明文,后汉书,卷109儒林上,任安字定祖，广汉綿竹人也
15810,P0006,任芝,东汉,阙,阙,,,灵帝时侍中,见原典,有明文,后汉书,第四十七章:杨震列传,书奏，帝欲止，以问侍中任芝、中常侍乐松
15813,P0007,伍琼,东汉,阙,阙,,,城门校尉（一说与侍中周毖并列名士）,见原典,有明文,后汉书,第六十四章:郑孔荀列传,公业等与侍中伍琼、卓长史何颙共说卓，以袁绍为勃海太守，以发山东之谋
15814,P0008,伏完,东汉,阙,阙,,,侍中；辅国将军；不其侯,见原典,有明文,后汉书,卷10下皇后纪,父完，沉深有大度，襲爵不其侯，尚桓帝女阳安公主，为侍中
15816,P0009,伏无忌,东汉,阙,阙,156,,侍中屯骑校尉；永寿中,见原典,有明文,后汉书,卷56伏侯宋蔡冯赵牟韦传,顺帝时，为侍中屯骑校尉
15818,P0010,何休,东汉,阙,阙,,,见原典「侍中」明文,见原典,有明文,后汉书,第七十五章:儒林列传下,岁余复征，再迁侍中，卒于官
15822,P0012,何进,东汉,阙,阙,,,拜侍中将作大匠河南尹；大将军,见原典,有明文,后汉书,卷99窦何传,何进字遂高，南阳宛人也
15827,P0014,傅俊,东汉,阙,阙,,,光武时侍中；迎阴丽华,见原典,有明文,后汉书,第十一章:皇后纪上,光武即位，令侍中傅俊迎后，与胡阳、宁平主诸宫人俱到洛阳，以后为贵人
15841,P0022,冯石,东汉,阙,阙,,,为侍中，稍迁卫尉；明帝时,见原典,有明文,东观汉记,卷013,冯石（案石鲂子/柱次子）襲母公主封獲嘉侯，亦为侍中，稍迁卫尉
15844,P0023,刘儒,东汉,阙,阙,,,三迁侍中,见原典,有明文,后汉书,卷97党锢传,刘儒字叔林，东郡阳平人也
15848,P0025,刘宽,东汉,阙,阙,,,由长史入登侍中（碑/集古录）；后至太尉；桓帝时,见原典,有明文,隶释,021,侍中史阙书也碑又云固疾逊位拜光禄大夫迁卫¶
15850,P0026,刘岱,东汉,阙,阙,,,侍中出为兖州刺史,见原典,有明文,后汉书,卷104董卓传,以尚书韩馥为冀州刺史，侍中刘岱为兗州刺史
15852,P0027,刘平,东汉,阙,阙,121,,建光中侍中,见原典,有明文,后汉书,第三十一章:刘赵淳于江刘周赵列传,建光中，公车特征，至，拜侍中
15861,P0031,刘昆,东汉,阙,阙,29,,稍迁侍中弘农太守；建武五年,见原典,有明文,后汉书,卷109儒林上,刘昆字桓公，陈留东昏人也
15868,P0034,刘植,东汉,阙,阙,,,光武以为侍中骑都尉,见原典,有明文,后汉书,卷32,刘植字伯先，巨鹿昌城人也
15873,P0036,刘淑,东汉,阙,阙,,,再迁侍中虎贲中郎将,见原典,有明文,后汉书,卷97党锢传,刘淑字仲承，河间乐成人也
15875,P0037,刘珍,东汉,阙,阙,,,侍中；护礼仪、撰《东观汉记》,见原典,有明文,后汉书,第四十八章:章帝八王列传,又遣中常侍奉太牢祠典，护礼仪侍中刘珍等及宗室列侯皆往会事
15877,P0038,刘瑜,东汉,阙,阙,,,见原典「侍中」明文,见原典,有明文,后汉书,第六十三章:窦何列传,武于是引同志尹勋为尚书令，刘瑜为侍中，冯述为屯骑校尉
15883,P0039,刘瑰,东汉,阙,阙,,,位至侍中（以外戚/乳母女）,见原典,有明文,后汉书,卷八十四,瑰遂以为妻，得襲护爵，位至侍中
15887,P0041,刘艾,东汉,阙,阙,,,献帝朝侍中；董卓乱中随驾，护天子,见原典,有明文,后汉书,第六十六章:董卓列传,既知不实，使侍中刘艾出让有司
15895,P0043,包咸,东汉,阙,阙,,,谏议大夫、侍中、右中郎将,见原典,有明文,后汉书,卷109儒林下,包咸字子良，会稽曲阿人也
15899,P0045,单飏,东汉,阙,阙,176,,太史令、侍中；熹平五年,见原典,有明文,后汉书,卷112方术下,举孝廉，稍迁太史令，侍中
15907,P0049,台崇,东汉,阙,阙,,,献帝时侍中,见原典,有明文,后汉书,卷9孝献帝纪,曹操殺侍中臺崇、尚书冯碩等
15912,P0051,史恃,东汉,阙,阙,,,见原典「侍中」明文,见原典,有明文,后汉纪,028,千級诏使侍中史恃太㒒韩融告张济曰朕惟宗庙¶
15915,P0053,向栩,东汉,阙,阙,,,灵帝时侍中；坐言宦者下狱死,见原典,有明文,后汉书,第九章:孝灵帝纪,侍中向栩、张钧坐言宦者，下狱死
15917,P0054,周举,东汉,阙,阙,,,见原典,见原典,有明文,后汉书,61,时诏遣八使巡行风俗，皆选素有威名者，乃拜举为侍中，举侍中杜乔、守光禄大夫周栩、前青州刺史冯羨、尚书栾巴、侍御史张綱、兗州刺史郭遵、太尉长史刘班並守光禄大夫，分行天下
15918,P0055,周广,东汉,阙,阙,,,安帝时侍中；与樊丰、耿宝、谢惲等谗陷杨震,见原典,有明文,后汉书,第五章:李王邓来列传,明年，中常侍樊丰与大将军耿宝、侍中周广、谢惲等共谗陷太尉杨震，震遂自杀
15921,P0056,周毖,东汉,阙,阙,,,董卓时为侍中,见原典,有明文,三国志,卷6董二袁刘传,侍中周毖、城门校尉伍瓊、议郎何颙等，皆名士也，卓信之，而阴为紹
15922,P0057,周泽,东汉,阙,阙,68,,侍中骑都尉；太常；永平十一年,见原典,有明文,后汉书,卷109儒林下,十八年，以病乞身，为侍中骑都尉，卒于官
15927,P0061,孔昱,东汉,阙,阙,,,见原典「侍中」明文,见原典,有明文,,,
15931,P0065,孙期,东汉,阙,阙,,,见原典「侍中」明文,见原典,有明文,后汉书,第七十四章:儒林列传上,”帝即敕尚书解遵禁锢，拜凭虎贲中郎将，以侍中兼领之
15940,P0069,宋登,东汉,阙,阙,,,转拜侍中；顺帝时,见原典,有明文,后汉书,卷109儒林上,宋登字叔阳，京兆长安人也
15944,P0071,宣秉,东汉,阙,阙,,,更始征为侍中；光武御史中丞,见原典,有明文,后汉书,卷56宣张二王杜郭吴承郑赵传,更始即位，徵为侍中
15946,P0073,尹勋,东汉,阙,阙,,,灵帝初为侍中，迁尚书令；与窦武谋诛宦官,见原典,有明文,后汉书,第五十章:杜栾刘李刘谢列传,及帝崩，大将军窦武欲大诛宦官，乃引瑜为侍中，又以侍中尹勋为尚书令，共同谋画
15948,P0074,尹忠,东汉,阙,阙,,,献帝时侍中；杨定请为长史,见原典,有明文,全后汉文,卷八,===报杨定請侍中尹忠为长史诏===
15950,P0075,尹敏,东汉,阙,阙,58,,永平初侍中,见原典,有明文,后汉书,第七十四章:儒林列传上,顺帝以登明识礼乐，使持节临太学，奏定曲律，转拜侍中
15955,P0076,常洽,东汉,阙,阙,,,侍中；献帝时,见原典,有明文,三国志,卷六董二袁刘传（注引）,帝闻温与傕书，問侍中常洽曰：『傕弗知臧否，温言太切，可为寒心。』
15959,P0079,张兴,东汉,阙,阙,,,见原典「侍中」明文,见原典,有明文,,,
15967,P0086,张玄,东汉,阙,阙,,,见原典「侍中」明文,见原典,有明文,,,
15969,P0087,张纯,东汉,阙,阙,,,哀、平间为侍中,见原典,有明文,,,
15974,P0089,张衡,东汉,阙,阙,,,侍中，引在帷幄；后出为河间相,见原典,有明文,后汉书,卷59张衡传,后迁侍中，帝引在帷幄，諷议左右
15979,P0091,张霸,东汉,阙,阙,,,征拜侍中领骑都尉,见原典,有明文,后汉书,卷56,张霸字伯饶，蜀郡成都人也
15981,P0092,张驯,东汉,阙,阙,,,擢拜侍中典领秘书；顺帝时,见原典,有明文,后汉书,卷109儒林上,擢拜侍中，典领秘书近署，甚见納异
15984,P0095,戴凭,东汉,阙,阙,,,光武时拜侍中，兼领虎贲中郎将,见原典,有明文,,,
15985,P0096,承宫,东汉,阙,阙,,,为侍中,见原典,有明文,后汉书,卷七十九儒林下,太常樓望、侍中承宫、长水校尉樊儵等皆受业于恭
