book,juan,sentence,source_file,anon_label,note
三國志,卷02,」侍中劉廙等奏曰：「伏惟陛下以大聖之純懿，當天命之歷數，觀天象則符瑞著明，考圖緯則文義煥炳，察人事則四海齊心，稽前代則異世同歸；,data/raw/三國志/卷02.txt,有名待核,
三國志,卷02,」侍中劉廙等奏曰：「臣等聞聖帝不違時，明主不逆人，故易稱通天下之志，斷天下之疑。,data/raw/三國志/卷02.txt,有名待核,
三國志,卷02,」相國華歆、太尉賈詡、御史大夫王朗及九卿上言曰：「臣等被召到，伏見太史丞許芝、左中郎將李伏所上圖讖、符命，侍中劉廙等宣叙衆心，人靈同謀。,data/raw/三國志/卷02.txt,有名待核,
三國志,卷04,使中護軍望、兼太常河南尹肅持節，與少府袤、尚書亮、侍中表等奉法駕，迎公于元城。,data/raw/三國志/卷04.txt,有名待核,
三國志,卷04,【正元元年】冬十月壬辰，遣侍中持節分適四方，觀風俗，勞士民，察冤枉失職者。,data/raw/三國志/卷04.txt,有名待核,
三國志,卷06,帝聞溫與傕書，問侍中常洽曰：「傕弗知臧否，溫言太切，可爲寒心。,data/raw/三國志/卷06.txt,佚名/待考,
三國志,卷11,上使侍中宣意曰：『君守平原日淺，故復試君三輔，非有所閒也。,data/raw/三國志/卷11.txt,佚名/待考,
三國志,卷16,每政有得失，常引纲维以正言，於是侍中辛毗等器重之。,data/raw/三國志/卷16.txt,有名待核,
三國志,卷25,文帝問侍中劉曄等：「武都太守何如人也？,data/raw/三國志/卷25.txt,有名待核,
三國志,卷38,進用颍川荀爽、韓融、陳紀等為公、卿、郡守，拜尚書韓馥為冀州牧，侍中劉岱為兗州剌史，颍川張咨為南陽太守，陳留孔伷為豫州剌史，東郡張邈為陳留太守，而遷靖巴郡太守，不就，補御史中丞。,data/raw/三國志/卷38.txt,有名待核,
三國志,卷45,【漢安元年】，拜光祿大夫，與侍中杜喬等八人同日受詔，持節分出，案行天下貪廉，墨綬有罪便收，刺史二千石以驛表聞，威惠清忠，名振郡國，號曰八雋。,data/raw/三國志/卷45.txt,有名待核,
三國志,卷48,」旣至，車騎將軍賈充、尚書令裴秀、侍中荀勗等欲傲以所不知而不能屈。,data/raw/三國志/卷48.txt,有名待核,
三國志,卷48,（注：吳平後，晉侍中庾峻等問皓侍中李仁曰：「聞吳主披人面，刖人足，有諸乎？,data/raw/三國志/卷48.txt,有名待核,
三國志,卷59,權患之，謂侍中孫峻曰：「子弟不睦，臣下分部，將有袁氏之敗，爲天下笑。,data/raw/三國志/卷59.txt,有名待核,
三國志,卷59,亮問侍中刁玄曰：「盜乘御馬罪云何？,data/raw/三國志/卷59.txt,有名待核,
全後漢文,卷一百六,"（注：下缺）

　　汉□□□之□□王舅，是时宠特进朝侯大仆光禄侍中监营持节□□□功充列王室，遇谤于吕，委位捐尔，调官近（注：《隶释》作「沛」）土。",data/raw/全後漢文/卷一百六.txt,有名待核,
全後漢文,卷七,深恐在所慢違「如在」之義，今遣侍中王輔等，持節分詣岱山、東海、滎陽、河、洛，盡心祈焉。,data/raw/全後漢文/卷七.txt,有名待核,
全後漢文,卷七十,"）

詔問曰：「南宮侍中等聞雌雞化爲雄，尾頭毛已似雄，頭尚未變。",data/raw/全後漢文/卷七十.txt,有名待核,
全後漢文,卷五十八,{{*|《續漢‧律厤志中》︰「【延光二年】，太尉愷等上侍中施延等議。,data/raw/全後漢文/卷五十八.txt,有名待核,
全後漢文,卷八,帝疑賦恤有虛，乃親于御座前量試作糜，乃知非實，使侍中劉艾出讓有司。,data/raw/全後漢文/卷八.txt,有名待核,
全後漢文,卷八十二,董卓入洛陽，㠯侍中出爲兖州刺史。,data/raw/全後漢文/卷八十二.txt,有名待核,
全漢文,卷三十三,上㠯望之意輕丞相，乃下侍中等詰問望之。,data/raw/全漢文/卷三十三.txt,佚名/待考,
全漢文,卷三十二,爲書曰︰「皇帝問侍中君卿︰使中御府令高昌奉黃金千斤，賜君卿取十妻。,data/raw/全漢文/卷三十二.txt,侍中君卿（佚姓）,
前漢紀,卷022,"¶
前漢孝元皇帝紀中卷第二十二　荀恱¶
永光元年春正月行幸甘泉郊泰畤免雲陽徒賜民¶
爵一級女子百戸牛酒鰥寡孤獨高年帛所過無出¶
田租上留射獵御史大夫薛廣德上書言竊見關東¶
困極民人流移陛下日日撞亡秦之鍾聽鄭衛之樂¶
馳騁于戈縱姿於野不䘏百姓臣誠悼之今士卒暴¶
露從官勞倦願陛下亟反宫與天下同憂樂上即日¶
還宫詔丞相御史大夫舉質樸敦厚遜讓有行者三¶
月殞霜殺麥苗詔曰朕之不明無以知賢侫人在位¶
哲人壅蔽民漸俗薄去禮觸刑豈不哀哉其赦天下¶
令勵自新各務農畆無田皆假貸種食吏賜六百石¶
¶
以上爵五大夫勤事吏爵二級民一級女子百戸牛¶
酒鰥寡孤獨高年帛秋七月己未大司馬車騎將軍¶
史高賜金安車駟馬免上自酹祭宗",data/raw/前漢紀/卷022.txt,有名待核,
