file,hint_owner,sentence
第七十四章-儒林列传上.txt,,征拜议郎，稍迁侍中、弘农太守。
第七十四章-儒林列传上.txt,,永平初，迁侍中祭酒。
第七十四章-儒林列传上.txt,,帝善之，拜为侍中，数进见问得失。
第七十四章-儒林列传上.txt,,帝谓凭曰：“侍中当匡补国政，勿有隐情。
第七十四章-儒林列传上.txt,,”帝即敕尚书解遵禁锢，拜凭虎贲中郎将，以侍中兼领之。
第七十四章-儒林列传上.txt,,故京师为之语曰：“解经不穷戴侍中。
第七十四章-儒林列传上.txt,,顺帝以登明识礼乐，使持节临太学，奏定曲律，转拜侍中。
第七十四章-儒林列传上.txt,,擢拜侍中，典领秘书近署，甚见纳异。
第七十四章-儒林列传上.txt,,服阕，征拜侍中。
第七十五章-儒林列传下.txt,,拜谏议大夫、侍中、右中郎将。
第七十五章-儒林列传下.txt,,永平初，为博士，再迁侍中。
第七十五章-儒林列传下.txt,,时会京师诸儒于白虎观，讲论《五经》同异，使应专掌难问，侍中淳于恭奏之，帝亲临称制，如石渠故事。
第七十五章-儒林列传下.txt,,太常楼望、侍中承宫、长水校尉樊EA52等皆受业于恭。
第七十五章-儒林列传下.txt,,二十年，拜侍中祭酒、骑都尉，与侍中刘昆俱在光武左右，每事谘访焉。
第七十五章-儒林列传下.txt,,十八年，以病乞身，为侍中骑都尉，卒于官。
第七十五章-儒林列传下.txt,,”十八年，拜侍中骑都尉。
第七十五章-儒林列传下.txt,,永平初，为侍中、越骑校尉，入讲省内。
第七十五章-儒林列传下.txt,,岁余复征，再迁侍中，卒于官。
第七十五章-儒林列传下.txt,,迁侍中，出为弘农太守，卒官。
第六十一章-党锢列传.txt,王璋,又再迁侍中、虎贲中郎将。
第六十一章-党锢列传.txt,王璋,察孝廉，举高第，三迁侍中。
第七十六章-文苑列传上.txt,,和帝时，侍中贾逵荐尤有相如、杨雄之风，召诣东观，受诏作赋，拜兰台令史。
第七十六章-文苑列传上.txt,,永宁元年，太后又诏珍与B05A駼作建武已来名臣传，迁侍中、越骑校尉。
第七十六章-文苑列传上.txt,,顺帝时，为侍中。
第七十八章-独行列传.txt,,后拜侍中，卒官。
第七十八章-独行列传.txt,,征拜侍中，每朝廷大事，侃然正色，百官惮之。
第七十九章-方术列传上.txt,,陈郡郤巡，学传英业，官至侍中。
第八十章-方术列传下.txt,,举孝廉，稍迁太史令，侍中。
第八十章-方术列传下.txt,,灵帝时，大将军何进荐扶，征拜侍中，甚见器重。
第七十一章-循吏列传.txt,,董卓入洛阳，岱从侍中出为兗州刺史。
第七十三章-宦者列传.txt,审忠,伏闻中常侍曹节、王甫、张让等，及侍中许相，并为列侯。
第二十七章-张曹郑列传.txt,,父放，为成帝侍中。
第二十七章-张曹郑列传.txt,,纯少袭爵士，哀、平间为侍中，王莽时至列卿。
第二十七章-张曹郑列传.txt,,拜褒侍中，从驾南巡，既还，以事下三公，未及奏，诏召玄武司马班固，问改定礼制之宜。
第二十七章-张曹郑列传.txt,,有顷征，再迁，复为侍中。
第二十七章-张曹郑列传.txt,,后将军袁隗表为侍中，以父丧不行。
