id,name,style_name,dynasty,status,category,n_quotes,n_bio,n_evidence_csv,flags,file
P0001,丁恭,子然,東漢,待审,士人,2,2,2,,丁恭_東漢.md
P0002,丁鸿,阙,東漢,待审,士人,1,1,1,WEAK,丁鸿_東漢.md
P0003,严助,阙,西漢,待审,士人,1,2,0,THIN|WEAK,严助_西漢.md
P0004,乐松,阙,東漢,待审,其他,2,1,9,,乐松_東漢.md
P0005,任安,阙,東漢,待审,士人,4,1,4,,任安_東漢.md
P0006,任芝,阙,東漢,待审,其他,3,1,3,,任芝_東漢.md
P0007,伍琼,德瑜,東漢,待审,士人,1,2,1,,伍琼_東漢.md
P0008,伏完,阙,東漢,待审,外戚,1,2,0,THIN|WEAK,伏完_東漢.md
P0009,伏无忌,阙,東漢,待审,士人,1,1,0,THIN|WEAK,伏无忌_東漢.md
P0010,何休,阙,東漢,待审,士人,2,1,2,,何休_東漢.md
P0011,何晏,平叔,魏,待审,外戚/士人,2,3,2,,何晏_魏.md
P0012,佚名侍中（禁中出入制度）,—,兩漢,待审,制度,3,4,0,DYN_VAGUE,佚名侍中_禁中出入_兩漢.md
P0013,傅俊,子卫,東漢,待审,勋贵,2,2,0,,傅俊_東漢.md
P0014,傅商,阙,西漢,待审,外戚,2,2,3,,傅商_西漢.md
P0015,傅喜,稚游,西漢,待审,外戚,2,2,2,,傅喜_西漢.md
P0016,傅嘉,阙,西漢,待审,其他,2,2,4,,傅嘉_西漢.md
P0017,傅巽,公悌,漢魏之際,待审,士人,4,2,4,,傅巽_漢魏之際.md
P0018,公孙敬聲,阙,西漢,草稿,阙,1,1,1,DRAFT_THIN|WEAK,公孙敬聲_西漢.md
P0019,关兴,阙,蜀漢,待审,勋贵,1,1,0,THIN|WEAK,关兴_蜀漢.md
P0020,关统,阙,蜀漢,待审,勋贵,2,1,2,,关统_蜀漢.md
P0021,冯石,阙,東漢,待审,外戚/勋贵,3,3,1,,冯石_東漢.md
P0022,刘儒,叔林,東漢,待审,士人,1,2,0,THIN,刘儒_東漢.md
P0023,刘劭,阙,魏,待审,士人,2,1,2,,刘劭_魏.md
P0024,刘宽,文饶,東漢,待审,士人,2,2,2,,刘宽_東漢.md
P0025,刘岱,公山,東漢,待审,士人,5,2,5,,刘岱_東漢.md
P0026,刘平,阙,東漢,待审,士人,2,1,2,,刘平_東漢.md
P0027,刘廙,恭嗣,漢魏之際,待审,士人,3,4,5,,刘廙_漢魏之際.md
P0028,刘恭,阙,更始_東漢,待审,宗室,3,1,3,,刘恭_更始_東漢.md
P0029,刘放,阙,魏,待审,士人,1,1,0,THIN|WEAK,刘放_魏.md
P0030,刘昆,阙,東漢,待审,士人,2,1,2,,刘昆_東漢.md
P0031,刘晔,子扬,漢魏之際,待审,士人,3,3,3,,刘晔_漢魏之際.md
P0032,刘棻,阙,新,待审,士人,2,1,2,,刘棻_新.md
P0033,刘植,阙,東漢,待审,勋贵,2,1,2,,刘植_東漢.md
P0034,刘歆,子骏,西漢,待审,士人,3,2,3,,刘歆_西漢.md
P0035,刘淑,仲承,東漢,待审,士人,1,2,1,,刘淑_東漢.md
P0036,刘珍,秋孙,東漢,待审,士人,2,2,2,,刘珍_東漢.md
P0037,刘瑜,阙,東漢,草稿,阙,6,5,8,,刘瑜_東漢.md
P0038,刘瑰,阙,東漢,待审,外戚,1,1,0,THIN|WEAK,刘瑰_東漢.md
P0039,刘能卿,阙,更始,待审,其他,3,1,3,,刘能卿_更始.md
P0040,刘艾,阙,東漢,待审,士人,8,4,11,,刘艾_東漢.md
P0041,刘茂,阙,東漢,待审,勋贵,1,1,2,WEAK,刘茂_東漢.md
