category,name,in_db,book,juan,sentence,phase,kind,action_hint,path
拟补人物,卫尉,N,后汉书,卷54,帝崩後，復入為侍中衛尉，從獻帝西遷，有功勤。,donghan_late,人物;制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,祭酒,N,后汉书,卷25,更始立，以茂為侍中祭酒，從至長安，知更始政亂，以年老乞骸骨歸。,wangmang,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,杜喬,N,三国志,卷45,【漢安元年】，拜光祿大夫，與侍中杜喬等八人同日受詔，持節分出，案行天下貪廉，墨綬有罪便收，刺史二千石以驛表聞，威惠清忠，名振郡國，號曰八雋。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,中郎将,N,全汉文,卷四十三,歷太子中庶子、諸曹侍中中郎將。,donghan_bureau,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,辛毗,N,三国志,卷02,」於是侍中辛毗、劉曄、散騎常侍傅巽、衞臻、尚書令桓階、尚書陳矯、陳羣、給事中博士騎都尉蘇林、董巴等奏曰：「伏見太史丞許芝上魏國受命之符；,hanwei,人物;制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,兄子璜,N,后汉书,卷72,）以弟旻為左將軍，封鄠侯，兄子璜為侍中、中軍校尉，皆典兵事。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,再迁,N,后汉书,卷27,建和初，四府表薦，征拜議郎，侍講禁內，再遷為侍中。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,用事,N,史记,卷087,以趙高為郎中令，常侍中用事。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,三迁,N,后汉书,卷30上,及至，拜議郎，三遷為侍中，特蒙引見，訪以時政。,xihan_addition,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,中郎,N,全汉文,卷二十七,武帝時，待詔，遷侍中中郎，坐法免，復召爲郎，拜東郡都尉，入爲光祿大夫侍中，後坐事誅。,wudi_expansion,人物;制度+人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
拟补人物,刁玄,N,三国志,卷48,」黃門不服，侍中刁玄、張邠啟：「黃門、藏吏辭語不同，請付獄推盡。,hanwei,人物,核查是否史有明文任侍中；确认则建卡（勿自动定稿）,
