row_id,book,juan,note_kind,sentence,guess_name,decision,canonical_name,note
1,三國志,卷06董二袁劉傳,佚姓有名,帝聞溫與傕書問侍中常洽曰傕弗知臧否溫言太切可爲寒心,常洽,确认建卡,常洽,已建卡P0902
2,漢書,卷068霍光金日磾傳,名存姓佚,皇帝問侍中君卿使中御府令高昌奉黃金千斤賜君卿取十妻,侍中君卿,确认建卡,侍中君卿,这一条建卡取消掉，这条完全没法用
3,後漢書,卷109袁紹劉表列傳下,姓佚,至許果拜嵩侍中零陵太守,嵩（姓佚）,确认建卡,韩嵩,建卡，这是韩嵩，有相关记载
4,三國志,卷04少帝紀,姓佚名疑,與少府袤尚書亮侍中表等奉法駕迎公于元城,表（？）,无法判断,,「侍中表」或是人名「表 ，此处可能为郑袤，仍存疑
5,三國志,卷11,无名使职,上使侍中宣意曰君守平原日淺故復試君三輔,（无名）,二手史料,,这里是三国志中曹操讲汉宣帝时候的旧事，此处的侍中是金安上
6,三國志,卷04少帝紀,无名使职,遣侍中持節分適四方觀風俗勞士民察冤枉失職者,（无名）,制度条,,这里只是政策举措，不涉及具体人物
7,後漢書,卷10下皇后紀,无名使職,使侍中持節拜爲弘農王妃,（无名）,无法判断,,使职无姓
8,全後漢文/後漢書,順帝紀,无名使職,遣侍中王輔等持節分詣岱山東海滎陽河洛,王輔,并入已有,王辅,已有卡
9,全漢文,卷三十三,无名,上以望之意輕丞相乃下侍中等詰問望之,（无名；实金安上系）,并入已有,金安上,参P0002
10,漢書/後漢書,百官志/表,制度,侍中舊與中官俱止禁中武帝時莽何羅謀逆由是侍中出禁外；亡員多至數十人,—,制度条,,已建制度卡P0903
11,後漢書,卷116百官志,制度,王莽秉政侍中復入與中官共止,—,制度条,,并入制度卡
12,漢書,卷19上百官公卿表,制度,侍中左右曹諸吏散騎中常侍皆加官亡員多至數十人,—,制度条,,并入制度卡
13,三國志,卷48注,晋人连称,晉侍中庾峻等問皓侍中李仁曰,庾峻；李仁,确认建卡,,给李仁直接建卡，庾峻建卡但标注
14,全後漢文,卷一百六,残阙,汉□□□之□□王舅……光禄侍中监营持节□□□,（严重残阙）,无法判断,,碑/文残，无法定人
15,後漢書,卷92/全後漢文,已有,太尉愷等上侍中施延等議,施延,并入已有,施延,已有卡
16,漢書,卷077,已有,適逢許侍中私出,许章,并入已有,许章,已有卡
17,後漢書,卷23,已有,因侍中金遷口達至誠,金迁,并入已有,金迁,已有卡
18,後漢書,卷55,已有,護禮儀侍中劉珍等,刘珍,并入已有,刘珍,已有卡
19,三國志,卷02,已有,侍中劉廙等奏曰,刘廙,并入已有,刘廙,已有卡
20,三國志,卷16/25,已有,侍中辛毗等器重之；問侍中劉曄等,辛毗；刘晔,并入已有,辛毗/刘晔,已有卡
21,三國志/後漢書,董卓傳/循吏,已有,侍中劉岱爲兗州刺史；岱從侍中出爲兗州,刘岱,并入已有,刘岱,已有卡
22,後漢書/三國志,獻帝紀/董卓傳,已有,使侍中劉艾出讓有司,刘艾,并入已有,刘艾,已有卡
23,後漢書,卷57/黨錮,已有,引瑜為侍中又以侍中尹勳為尚書令,刘瑜；尹勋,并入已有,刘瑜/尹勋,已有卡
24,後漢書,卷13,已有,建初二年拜憲為郎稍遷侍中虎賁中郎將,窦宪,并入已有,窦宪,已有卡
25,漢書,哀帝紀/蓋諸葛傳,已有,侍中傅商；侍中鄭業；復以邑弟侍中王奇,傅商/郑业/王奇,并入已有,,已有卡
26,後漢書,梁統傳,已有,弟侍中不疑為河南尹,梁不疑,并入已有,梁不疑,已有卡
27,後漢書,皇后紀下,已有,以後父侍中暢為長水校尉,阎畅,并入已有,阎畅,已有卡
28,後漢書/三國志,董卓傳,残字,侍中周BC60城門校尉伍瓊,周毖,并入已有,周毖,镜像OCR残，正史作周毖
29,後漢書,袁紹劉表列傳下,已有,操以為侍中（邓义句）,邓义,并入已有,邓义,「侍中從事鄧義」连称
30,全後漢文,卷七十靈帝,制度/诏,詔問南宮侍中等聞雌雞化爲雄,—,制度条,,灾异诏书，非具体人
31,史記/漢書,衛青霍去病傳/封禪書,已有,侍中奉車子侯上泰山,霍嬗（子侯）,并入已有,霍嬗,已有卡（子侯）
