person,book,juan,sentence,source_file,title_persons
冯岑,後漢書,第七章-冯岑贾列传,少为侍中、虎贲中郎将，朝廷多称其能。,data/raw/mirror/後漢書/列传/第七章-冯岑贾列传.txt,冯岑
冯岑,後漢書,第七章-冯岑贾列传,时邓太后临朝，光宠最盛，以建为侍中，顺帝时为光禄勋。,data/raw/mirror/後漢書/列传/第七章-冯岑贾列传.txt,冯岑
郭陈,後漢書,第三十九章-郭陈列传,郭氏自弘后，数世皆传法律，子孙至公者一人，廷尉七人，侯者三人，刺史、二千石、侍中、中郎将者二十余人，侍御史、正、监、平者甚众。,data/raw/mirror/後漢書/列传/第三十九章-郭陈列传.txt,郭陈
郭陈,後漢書,第三十九章-郭陈列传,皇后弟侍中窦宪，荐真定令张林为尚书，帝以问宠，宠对“林虽有才能，而素行贪浊”，宪以此深恨宠。,data/raw/mirror/後漢書/列传/第三十九章-郭陈列传.txt,郭陈
郭陈,後漢書,第三十九章-郭陈列传,书御，有诏拜有道高第士沛国施延为侍中，延后位至太尉。,data/raw/mirror/後漢書/列传/第三十九章-郭陈列传.txt,郭陈
朱乐,後漢書,第三十六章-朱乐何列传,后穆因进见，口复陈曰：“臣闻汉家旧典，置侍中、中常侍各一人，省尚书事，黄门侍郎一人，传发书奏，皆用姓族。,data/raw/mirror/後漢書/列传/第三十六章-朱乐何列传.txt,朱乐
朱乐,後漢書,第三十六章-朱乐何列传,时齐殇王子都乡侯暢奔吊国忧，上书未报，侍中窦宪遂令人刺杀暢于城门屯卫之中，而主名不立。,data/raw/mirror/後漢書/列传/第三十六章-朱乐何列传.txt,朱乐
耿弇,後漢書,第九章-耿弇列传,延光中，尚安帝妹濮阳长公主，位至侍中。,data/raw/mirror/後漢書/列传/第九章-耿弇列传.txt,耿弇
耿弇,後漢書,第九章-耿弇列传,宝弟子承袭公主爵为林虑侯，位至侍中。,data/raw/mirror/後漢書/列传/第九章-耿弇列传.txt,耿弇
耿弇,後漢書,第九章-耿弇列传,大贵人数为耿氏请，阳嘉三年，顺帝遂绍封宝子箕牟平侯，为侍中。,data/raw/mirror/後漢書/列传/第九章-耿弇列传.txt,耿弇
张曹,後漢書,第二十七章-张曹郑列传,父放，为成帝侍中。,data/raw/mirror/後漢書/列传/第二十七章-张曹郑列传.txt,张曹
张曹,後漢書,第二十七章-张曹郑列传,纯少袭爵士，哀、平间为侍中，王莽时至列卿。,data/raw/mirror/後漢書/列传/第二十七章-张曹郑列传.txt,张曹
张曹,後漢書,第二十七章-张曹郑列传,”拜充侍中。,data/raw/mirror/後漢書/列传/第二十七章-张曹郑列传.txt,张曹
张曹,後漢書,第二十七章-张曹郑列传,拜褒侍中，从驾南巡，既还，以事下三公，未及奏，诏召玄武司马班固，问改定礼制之宜。,data/raw/mirror/後漢書/列传/第二十七章-张曹郑列传.txt,张曹
张曹,後漢書,第二十七章-张曹郑列传,有顷征，再迁，复为侍中。,data/raw/mirror/後漢書/列传/第二十七章-张曹郑列传.txt,张曹
张曹,後漢書,第二十七章-张曹郑列传,后将军袁隗表为侍中，以父丧不行。,data/raw/mirror/後漢書/列传/第二十七章-张曹郑列传.txt,张曹
梁统,後漢書,第二十六章-梁统列传,棠卒，子安国嗣，延光中为侍中，有罪免官，诸梁为郎吏者皆坐免。,data/raw/mirror/後漢書/列传/第二十六章-梁统列传.txt,梁统
梁统,後漢書,第二十六章-梁统列传,三年，顺帝选商女及妹入掖庭，迁侍中、屯骑校尉。,data/raw/mirror/後漢書/列传/第二十六章-梁统列传.txt,梁统
梁统,後漢書,第二十六章-梁统列传,初为黄门侍郎，转侍中、虎贲中郎将，越骑、步兵校尉，执金吾。,data/raw/mirror/後漢書/列传/第二十六章-梁统列传.txt,梁统
