person,n_evidence,books,sample,aliases
窦宪,18,後漢書|後漢紀|東觀漢記,于是京师贵戚卫尉马廖、侍中窦宪慕其行，各奉书致礼，革无所报受。,
贾逵,16,全後漢文|後漢書|東觀漢記,和帝时，侍中贾逵荐尤有相如、杨雄之风，召诣东观，受诏作赋，拜兰台令史。,
刘艾,11,三國志|全後漢文|後漢書|後漢紀,既知不实，使侍中刘艾出让有司。,
董贤,10,前漢紀|漢書,是时，侍中董贤爱幸于上，上欲侯之而未有所缘，傅嘉劝上因东平事以封贤。,
淳于长,9,前漢紀|漢書,后数年，皇太后姊子侍中卫尉定陵侯淳于长有罪，上以太后故，免官勿治罪。,
刘瑜,8,後漢書|後漢紀,武于是引同志尹勋为尚书令，刘瑜为侍中，冯述为屯骑校尉；,
王林卿,6,全漢文|漢書,初，邛成太后外家王氏贵，而侍中王林卿通轻侠，倾京师。,
杨琦,6,三國志|全後漢文|後漢書|後漢紀,侍中楊琦上封事曰：「傕，邊鄙之人，習於夷風，今又自知所犯悖逆，常有怏怏之色，欲輔車駕幸黃白城以紓其憤。,
马宇,5,三國志|後漢書,侍中马宇与谏议大夫种邵、左中郎将刘范等谋，欲使腾袭长安，己为内应，以诛傕等。,
刘廙,5,三國志,」魏王侍中劉廙、辛毗、劉曄、尚書令桓階、尚書陳矯、陳羣、給事黃門侍郎王毖、董遇等言：「臣伏讀左中郎將李伏上事，考圖緯之言，以效神明之應，稽之古代，未有不然者也。,
刘岱,5,三國志|後漢書|後漢紀,进用颍川荀爽、韩融、陈纪等为公、卿、郡守，拜尚书韩馥为冀州牧，侍中刘岱为兖州刺史，颍川张咨为南阳太守，陈留孔伷为豫州刺史，东郡张邈为陈留太守，而迁靖巴郡太守，不就，补御史中丞。,
张辟彊,5,前漢紀|史記|漢書,留侯子张辟彊为侍中，年十五，谓丞相曰：“太后独有孝惠，今崩，哭不悲，君知其解乎？,
金敞,5,前漢紀|漢書,望之选白宗室明经达学散骑、谏大夫刘更生给事中，与侍中金敞并拾遗左右。,
虞子和,4,三國志|後漢書,虞子和为侍中，在长安。,
王沈,4,三國志,事已觉露，直欲因际会举兵入西宫杀吾，出取大将军，呼侍中王沈、散骑常侍王业、尚书王经，出怀中黄素诏示之，言今日便当施行。,
傅巽,4,三國志,侍中傅巽掐则曰：“不谓卿也。,
宋弘,4,後漢書,纯少袭爵士，哀、平间为侍中，王莽时至列卿。,
史丹,4,漢書,时凤在位，与皇后、太子同心忧惧，刺侍中史丹拥右太子，语在《丹传》。,
许相,3,全後漢文|後漢書,伏闻中常侍曹节、王甫、张让等，及侍中许相，并为列侯。,
刘歆,3,全後漢文|後漢書,建平中，侍中刘歆欲立《左氏》，不先暴论大义，而轻移太常，恃其义长，诋挫诸儒，诸儒内怀不服，相与排之。,
杜乔,3,後漢書,侍中杜乔，学深行直，当世良臣，久托疾病，可敕令起。,
周广,3,後漢書,明年，中常侍樊丰与大将军耿宝、侍中周广、谢惲等共谗陷太尉杨震，震遂自杀。,
王邑,3,全漢文|漢書,出侍中王邑、射声校尉王邯等。,
刘晔,3,三國志,文帝问侍中刘晔等：“武都太守何如人也？,
周毖,3,三國志|後漢書,侍中周毖、城门校尉伍琼、议郎何颙等，皆名士也，卓信之，而阴为绍，乃说卓曰：“夫废立大事，非常人所及。,
刘能卿,3,後漢書|後漢紀,侍中刘能卿知其谋，以告之。,
刘恭,3,後漢書|後漢紀,初，侍中刘恭以赤眉立其弟盆子，自系诏狱：闻更始败，乃出，步从至高陵，止传舍。,
任芝,3,後漢書|後漢紀,书奏，帝欲止，以问侍中任芝、中常侍乐松。,乐松
许章,3,前漢紀|漢書,时，侍中许章以外属贵幸，奢淫不奉法度，宾客犯事，与章相连。,
傅商,3,漢書,二月，封帝太太后从弟侍中傅商为汝昌侯，太后同母弟子侍中郑业为阳信侯。,郑业
王凤,3,前漢紀|漢書,以元舅侍中卫尉阳平侯王凤为大司马大将军，领尚书事。,
孙峻,2,三國志,权疾困，召恪、弘及太常滕胤、将军吕据、侍中孙峻，属以后事。,
张绍,2,三國志,谨遣私署侍中张绍、光禄大夫谯周、驸马都尉邓良奉赍印缓，请命告诚，敬输忠款，存亡敕赐，惟所裁之。,
郭攸之,2,三國志,上疏曰：“侍中郭攸之、费祎、侍郎董允等，先帝简拔以遗陛下，至於斟酌规益，进尽忠言，则其任也。,费祎
马良,2,三國志,二月，先主自秭归率诸将进军，缘山截岭，於夷道猇亭驻营，自佷山通武陵，遣侍中马良安慰五谿蛮夷，咸相率响应。,
诸葛瞻,2,三國志,侍中诸葛瞻，丞相亮之子，恪从弟也，嶷与书曰：“东主初崩，帝实幼弱，太傅受寄讬之重，亦何容易！,
许允,2,三國志,侍中许允、尚书陈泰说爽，使早自归罪。,
何晏,2,三國志,时曹爽秉权，将树其党，徙毓仆射，以侍中何晏代毓。,
孙邕,2,三國志,正始二年，太仆陶丘一、永宁卫尉孟观、侍中孙邕、中书侍郎王基荐宁曰：,
郑小同,2,三國志,九月庚子，讲尚书业终，赐执经亲授者司空郑冲、侍中郑小同等各有差。,
李延年,2,史記,至今上即位，作《十九章》，令侍中李延年次序其声，拜为协律都尉。,
丁恭,2,後漢書,二十年，拜侍中祭酒、骑都尉，与侍中刘昆俱在光武左右，每事谘访焉。,刘昆
袁隗,2,後漢書,后将军袁隗表为侍中，以父丧不行。,
尹勋,2,後漢書,及帝崩，大将军窦武欲大诛宦官，乃引瑜为侍中，又以侍中尹勋为尚书令，共同谋画。,
来历,2,後漢書,历字伯珍，少袭爵，以公主子，永元中为侍中，监羽林右骑。,
刘珍,2,後漢書,又遣中常侍奉太牢祠典，护礼仪侍中刘珍等及宗室列侯皆往会事。,
向栩,2,後漢書,侍中向栩、张钧坐言宦者，下狱死。,张钧
傅俊迎,2,後漢書,光武即位，令侍中傅俊迎后，与胡阳、宁平主诸宫人俱到洛阳，以后为贵人。,
邓蕃,2,後漢書,皇女小姬，十二年封平皋公主，适昌安侯侍中邓蕃。,
贾建,2,後漢書,皇女利，元年封临颍公主，适即墨侯侍中贾建。,
朱展,2,後漢書,十一月庚午，李傕、郭汜等追乘舆，战于东涧，王师败绩，杀光禄勋邓泉、卫尉士孙瑞、廷尉宣播、大长秋苗祀、步兵校尉魏桀、侍中朱展、射声校尉沮俊。,
金涉,2,漢書,久之，叔父成都侯商上书，愿分户邑以封莽，及长乐少府戴崇、侍中金涉、胡骑校尉箕闳、上谷都尉阳并、中郎陈汤，皆当世名士，咸为莽言，上由是贤莽。,
金安上,2,漢書,”侍中卫尉金安上上书言：“贺，天之所弃，陛下至仁，复封为列侯。,
侯王邑,2,漢書,莽从弟成都侯王邑为侍中，矫称太皇太后指白哀帝，为莽求特进给事中。,
王奇,2,漢書,复以邑弟侍中王奇为扬武将军，城门将军赵恢为强弩将军，中郎将李棽为厌难将军，复将兵西。,
傅喜,2,漢書,哀帝初即位，召寻待诏黄门，使侍中卫尉傅喜问寻曰：“间者水出地动，日月失度，星辰乱行，灾异仍重，极言毋有所讳。,
史高,2,全漢文|漢書,侍中史高与金安上建发其事，言无入霍氏禁闼，卒不得遂其谋，皆雠有功。,
荀顗,2,三國志,（注：《魏氏春秋》曰：二月丙辰，帝宴羣臣於太極東堂，與侍中荀顗、尚書崔贊、袁亮、鍾毓、給事中中書令虞松等並講述禮典，遂言帝王優劣之差。,和嶠
张紹,2,三國志,謹遣私署侍中張紹、光祿大夫譙周、駙馬都尉鄧良奉繼印綬，請命告誠，敬輸忠款，存亡敕賜，惟所裁之。,
王輔,2,全後漢文|後漢書,深恐在所慢違「如在」之義，今遣侍中王輔等，持節分詣岱山、東海、滎陽、河、洛，盡心祈焉。,
尹忠,2,全後漢文|後漢紀,===報楊定請侍中尹忠爲長史詔（注：八月）===,
韓說,2,全後漢文|後漢書,侍中韓說、博士蔡較、穀城門𠊱劉洪、右郎中陳調于太常府，覆校注說，平議難問，恂、誠各對。,
郭举,2,後漢書,三二三四頁一０行　憲女弟婿郭舉為侍中射聲校尉　按：竇憲傳作「憲女婿」，通鑑同，此云「憲女弟婿」，未詳孰是。,
杨文父,2,隸續,侍中楊文父神道¶,
刘宽,2,隸釋|集古錄,侍中史闕書也碑又云固疾遜位拜光禄大夫遷衛¶,
孔霸,2,後漢書,曾祖霸，元帝时为侍中。,
阴兴,2,後漢書,永平元年诏曰：“故侍中卫尉关内侯兴，典领禁兵，从平天下，当以军功显受封爵，又诸舅比例，应蒙恩泽，兴皆固让，安乎里巷。,
乐松,2,後漢書,侍中祭酒乐松、贾护，多引无行趣势之徒，并待制鸿都门下，熹陈方俗闾里小事，帝甚悦之，待以不次之位。,贾护
寇荣,2,後漢書,荣少知名，桓帝时为侍中。,
邓叠,2,後漢書,"""宪独不受封，遂将兵出镇凉州，以侍中邓叠行征西将军事为副。",
王望,2,漢書,中黄门各拔刃将忠等送庐，忠拔剑欲自刎，侍中王望传言大司马反，黄门持剑共格杀之。,
傅嘉,2,全漢文|漢書,文学、光禄大夫夏侯胜等及侍中傅嘉数进谏以过失，使人簿责胜，缚嘉系狱。,
王粲,2,三國志,（注：是行也，侍中王粲作五言詩以美其事，曰：「從軍有苦樂，但問所從誰。,
董允,1,三國志,后主以问侍中董允、留府长史蒋琬，琬、允咸保仪疑延。,
伍琼,1,後漢書,公业等与侍中伍琼、卓长史何颙共说卓，以袁绍为勃海太守，以发山东之谋。,
王辅,1,後漢書,深恐在所慢违'如在'之义，今遣侍中王辅等，持节分诣岱山、东海、荥阳、河、洛，尽心祈焉。,
谢惲,1,後漢書,辛卯，大将军耿宝、中常侍樊丰、侍中谢惲、周广、乳母野王君王圣，坐相阿党，丰、惲、广下狱死，宝自杀，圣徙雁门。,周广
杜辅,1,漢書,皇后使侍中杜辅、掖庭令浊贤交送政君太子宫，见丙殿。,
苏武,1,漢書,初，武与李陵俱为侍中，武使匈奴明年，陵降，不敢求武。,李陵
徐博,1,漢書,侍中徐博赋四篇。,
陈群,1,三國志,」侍中陳羣、尚書桓階奏曰：「漢自安帝已來，政去公室，國統數絕，至於今者，唯有名號，尺土一民，皆非漢有，期運久已盡，歷數久已終，非適今日也。,
郑称,1,三國志,（注：《魏略》曰：以侍中鄭稱爲武德侯傅，令曰：「龍淵、太阿出昆吾之金，和氏之璧由井里之田；,
蔡邕,1,三國志,」卓怒，罷坐，欲誅植，侍中蔡邕勸之，得免。,
王允,1,三國志,允前爲侍中，顧當與帝別，涕泣歔欷。,
和峤,1,三國志,臣-{松}-之案和嶠爲侍中，荀顗亡沒久矣。,
耿纪,1,三國志,荀彧进之太祖，（注：《傅子》曰：畿自荆州还，后至许，见侍中耿纪，语终夜。,
徐宣,1,三國志,帝遂以宣爲左仆射，後加侍中灌禄大夫。,
