person,cand_row,book,juan,sentence,source_file,alias_in_sentence
卫青者,123,史記,第五十一章:卫将军骠骑列传,上闻，乃召青为建章监，侍中，及同母昆弟贵，赏赐数日间累千金。,data/raw/mirror/史記/七十列传/第五十一章-卫将军骠骑列传.txt,
卫青者,1097,史記,111,上聞，乃召青為建章監，侍中，及同母昆弟貴，賞賜數日閒累千金。,data/raw/史記/卷111.txt,
郭昌,126,史記,第五十一章:卫将军骠骑列传,以御见，侍中，为校尉，数从大将军。,data/raw/mirror/史記/七十列传/第五十一章-卫将军骠骑列传.txt,
郭昌,1100,史記,111,以御見，侍中，為校尉，數從大將軍。,data/raw/史記/卷111.txt,
王朝,128,史記,第六十二章:酷吏列传,庄助使人言买臣，买臣以楚辞与助俱幸，侍中，为太中大夫，用事；,data/raw/mirror/史記/七十列传/第六十二章-酷吏列传.txt,
王朝,1103,史記,122,莊助使人言買臣，買臣以楚辭與助倶幸，侍中，爲太中大夫，用事；,data/raw/史記/卷122.txt,
卫皇后,134,史記,第十九章:外戚世家,召其兄卫长君弟青为侍中。,data/raw/mirror/史記/三十世家/第十九章-外戚世家.txt,
卫皇后,1087,史記,049,召其兄衛長君弟青為侍中。,data/raw/史記/卷049.txt,
卫青,135,史記,第十九章:外戚世家,四子，长子伉为侯世子，侯世子常侍中，贵幸。,data/raw/mirror/史記/三十世家/第十九章-外戚世家.txt,
卫青,1088,史記,049,四子，長子伉為侯世子，侯世子常侍中，貴幸。,data/raw/史記/卷049.txt,
贾捐之,433,漢書,第三十六章:严朱吾丘主父徐严终王,上使侍中、驸马都尉、乐昌侯王商诘问捐之曰：“珠厓内属为郡久矣，今背畔逆节，而云不当击，长蛮夷之乱，亏先帝功德，经义何以处之？,data/raw/mirror/漢書/传/第三十六章-严朱吾丘主父徐严终王.txt,
元以来,441,漢書,第三十章:张汤传,”及禹诛灭，而安世子孙相继，自宣、元以来为侍中、中常侍、诸曹散骑、列校尉者凡十余人。,data/raw/mirror/漢書/传/第三十章-张汤传.txt,
元以来,1596,漢書,059,」及禹誅滅，而安世子孫相繼，自宣、元以來為侍中、中常侍、諸曹散騎、列校尉者凡十餘人。,data/raw/漢書/卷059.txt,
王商,463,漢書,第五十四章:王商史丹傅喜传,繇是擢为诸曹、侍中、中郎将。,data/raw/mirror/漢書/传/第五十四章-王商史丹傅喜传.txt,
王商,1652,漢書,082,繇是擢爲諸曹、侍中、中郎將。,data/raw/漢書/卷082.txt,
史丹,465,漢書,第五十四章:王商史丹傅喜传,而商子弟亲属为驸马都尉、侍中、中常侍、诸曹大夫郎吏者，皆出补吏，莫得留给事宿卫者。,data/raw/mirror/漢書/传/第五十四章-王商史丹傅喜传.txt,
史丹,466,漢書,第五十四章:王商史丹傅喜传,高侍中，贵幸，以发举反者大司马霍禹功封乐陵侯。,data/raw/mirror/漢書/传/第五十四章-王商史丹傅喜传.txt,
史丹,467,漢書,第五十四章:王商史丹傅喜传,元帝即位，为驸马都尉侍中，出常骖乘，甚有宠。,data/raw/mirror/漢書/传/第五十四章-王商史丹傅喜传.txt,
史丹,1654,漢書,082,而商子弟親屬爲駙馬都尉、侍中、中常侍、諸曹大夫郎吏者，皆出補吏，莫得留給事宿衛者。,data/raw/漢書/卷082.txt,
史丹,1655,漢書,082,高侍中，貴幸，以發舉反者大司馬霍禹功封樂陵侯。,data/raw/漢書/卷082.txt,
史丹,1656,漢書,082,元帝即位，爲駙馬都尉侍中，出常驂乘，甚有寵。,data/raw/漢書/卷082.txt,
梁丘贺,476,漢書,第六十一章:儒林传,待诏黄门数入说教侍中，以召贺。,data/raw/mirror/漢書/传/第六十一章-儒林传.txt,
于长,489,漢書,第六十六章:佞幸传,帝嘉长义，拜为列校尉诸曹，迁水衡都尉侍中，至卫尉九卿。,data/raw/mirror/漢書/传/第六十六章-佞幸传.txt,
董贤,492,漢書,第六十六章:佞幸传,贤宠爱日甚，为驸马都尉侍中，出则参乘，入御左右，旬月间赏赐累巨万，贵震朝廷。,data/raw/mirror/漢書/传/第六十六章-佞幸传.txt,
