person,cand_row,book,juan,sentence,source_file,alias_in_sentence
李蔡,126,史記,第五十一章:卫将军骠骑列传,以御见，侍中，为校尉，数从大将军。,data/raw/mirror/史記/七十列传/第五十一章-卫将军骠骑列传.txt,
李蔡,1100,史記,111,以御見，侍中，為校尉，數從大將軍。,data/raw/史記/卷111.txt,
赵食其,126,史記,第五十一章:卫将军骠骑列传,以御见，侍中，为校尉，数从大将军。,data/raw/mirror/史記/七十列传/第五十一章-卫将军骠骑列传.txt,
赵食其,1100,史記,111,以御見，侍中，為校尉，數從大將軍。,data/raw/史記/卷111.txt,
王满,127,史記,第五十五章:朝鲜列传,左将军素侍中，幸，将燕代卒，悍，乘胜，军多骄。,data/raw/mirror/史記/七十列传/第五十五章-朝鲜列传.txt,
王山,1070,史記,020,以父桀為將軍故貴，侍中，事昭帝。,data/raw/史記/卷020.txt,
王山,1072,史記,020,入侍中，授昭帝韓詩，為御史大夫。,data/raw/史記/卷020.txt,
王山,1073,史記,020,通詩、禮、尚書，為博士，授魯大儒，入侍中，為昭帝師，遷為光祿大夫，大鴻臚，長信少府。,data/raw/史記/卷020.txt,
王山,1076,史記,020,侍中，事昭帝。,data/raw/史記/卷020.txt,
王滿,1101,史記,115,左將軍素侍中，幸，將燕代卒，悍，乘勝，軍多驕。,data/raw/史記/卷115.txt,
朱買臣,1103,史記,122,莊助使人言買臣，買臣以楚辭與助倶幸，侍中，爲太中大夫，用事；,data/raw/史記/卷122.txt,
贾捐之,433,漢書,第三十六章:严朱吾丘主父徐严终王,上使侍中、驸马都尉、乐昌侯王商诘问捐之曰：“珠厓内属为郡久矣，今背畔逆节，而云不当击，长蛮夷之乱，亏先帝功德，经义何以处之？,data/raw/mirror/漢書/传/第三十六章-严朱吾丘主父徐严终王.txt,
李息,447,漢書,第二十五章:卫青霍去病传,荀彘，太原广武人，以御见，侍中，用校尉数从大将军。,data/raw/mirror/漢書/传/第二十五章-卫青霍去病传.txt,
李息,1590,漢書,055,荀彘，太原廣武人，以御見，侍中，用校尉數從大將軍。,data/raw/漢書/卷055.txt,
施雠,476,漢書,第六十一章:儒林传,待诏黄门数入说教侍中，以召贺。,data/raw/mirror/漢書/传/第六十一章-儒林传.txt,
梁丘贺,476,漢書,第六十一章:儒林传,待诏黄门数入说教侍中，以召贺。,data/raw/mirror/漢書/传/第六十一章-儒林传.txt,
周堪,477,漢書,第六十一章:儒林传,元帝即位，地馀侍中，贵幸，至少府。,data/raw/mirror/漢書/传/第六十一章-儒林传.txt,
周堪,1669,漢書,088,元帝即位，地餘侍中，貴幸，至少府。,data/raw/漢書/卷088.txt,
石显,488,漢書,第六十六章:佞幸传,天子召见，欲以为侍中，逡请间言事。,data/raw/mirror/漢書/传/第六十六章-佞幸传.txt,
何并,517,漢書,第四十九章:盖诸葛刘郑孙毋将何传,会日暮追及，收缚冠奴，奴曰：“我非侍中，奴耳。,data/raw/mirror/漢書/传/第四十九章-盖诸葛刘郑孙毋将何传.txt,
