person,cand_row,book,juan,sentence,source_file,alias_in_sentence
窦宪,183,後漢書,第三十一章:刘赵淳于江刘周赵列传,于是京师贵戚卫尉马廖、侍中窦宪慕其行，各奉书致礼，革无所报受。,data/raw/mirror/後漢書/列传/第三十一章-刘赵淳于江刘周赵列传.txt,
窦宪,188,後漢書,第三十九章:郭陈列传,皇后弟侍中窦宪，荐真定令张林为尚书，帝以问宠，宠对“林虽有才能，而素行贪浊”，宪以此深恨宠。,data/raw/mirror/後漢書/列传/第三十九章-郭陈列传.txt,
窦宪,195,後漢書,第三十六章:朱乐何列传,时齐殇王子都乡侯暢奔吊国忧，上书未报，侍中窦宪遂令人刺杀暢于城门屯卫之中，而主名不立。,data/raw/mirror/後漢書/列传/第三十六章-朱乐何列传.txt,
窦宪,213,後漢書,第二十九章:桓荣丁鸿列传,和帝即位，富于春秋，侍中窦宪自以外戚之重，欲令少主颇涉经学，上疏皇太后曰：,data/raw/mirror/後漢書/列传/第二十九章-桓荣丁鸿列传.txt,
窦宪,221,後漢書,第二十五章:朱冯虞郑周列传,在位四年，奏尚书张林阿附侍中窦宪，而素行臧秽，又上洛阳令杨光，宪之宾客，在官贪残，并不宜处位。,data/raw/mirror/後漢書/列传/第二十五章-朱冯虞郑周列传.txt,
窦宪,360,後漢書,第五章:孝和孝殇帝纪,冬十月乙亥，以侍中窦宪为车骑将军，伐北匈奴。,data/raw/mirror/後漢書/本纪/第五章-孝和孝殇帝纪.txt,
窦宪,1212,後漢書,33,在位四年，奏尚書張林阿附侍中竇憲，而素行臧穢，又上洛陽令楊光，憲之賓客，在官貪殘，並不宜處位。,data/raw/後漢書/卷33.txt,
窦宪,1233,後漢書,37,和帝即位，富於春秋，侍中竇憲自以外戚之重，欲令少主頗涉經學，上疏皇太后曰：「《禮記》云：『天下之命，懸於天子；,data/raw/後漢書/卷37.txt,
窦宪,1243,後漢書,39,於是京師貴戚衛尉馬廖、侍中竇憲慕其行，各奉書致禮，革無所報受。,data/raw/後漢書/卷39.txt,
窦宪,1253,後漢書,43,時齊殤王子都鄉侯暢奔吊國憂，上書未報，侍中竇憲遂令人刺殺暢於城門屯□之中，而主名不立。,data/raw/後漢書/卷43.txt,
窦宪,1259,後漢書,46,皇后弟侍中竇憲，薦真定令張林為尚書，帝以問壟，壟對「林雖有才能，而素行貪濁」，憲以此深恨壟。,data/raw/後漢書/卷46.txt,
窦宪,1417,後漢紀,011,師貴戚衞尉馬廖侍中竇憲等慕其行各奉書致禮¶,data/raw/後漢紀/卷011.txt,
窦宪,1496,東觀漢記,018,廖侍中竇憲慕其行各奉書致禮遺革終不發書無所¶,data/raw/東觀漢記/卷018.txt,
窦宪,193,後漢書,第三十八章:袁张韩周列传,和帝即位，侍中窦宪使人刺杀齐殇王子都乡侯暢于上东门，有司畏宪，咸委疑于暢兄弟。,data/raw/mirror/後漢書/列传/第三十八章-袁张韩周列传.txt,
窦宪,1257,後漢書,45,和帝即位，侍中竇憲使人刺殺齊殤王子都鄉侯暢於上東門，有司畏憲，鹹委疑於暢兄弟。,data/raw/後漢書/卷45.txt,
窦宪,1248,後漢書,4,冬十月乙亥，以侍中竇憲爲車騎將軍，伐北匈奴。,data/raw/後漢書/卷4.txt,
窦宪,1423,後漢紀,012,贖死夏五月京都旱冬十月侍中竇憲爲車騎將軍¶,data/raw/後漢紀/卷012.txt,
窦宪,1422,後漢紀,012,侯録尚書事百官揔已以聽於是侍中竇憲管掌機¶,data/raw/後漢紀/卷012.txt,
