person,cand_row,book,juan,sentence,source_file,alias_in_sentence
郭攸之,32,三國志,第五章:诸葛亮传,侍中、侍郎郭攸之、费祎、董允等，此皆良实，志虑忠纯，是以先帝简拔以遗陛下。,data/raw/mirror/三國志/蜀书/第五章-诸葛亮传.txt,
郭攸之,742,三國志,35,侍中、侍郎郭攸之、費禕、董允等，此皆良實，志慮忠純，是以先帝簡拔以遺陛下。,data/raw/三國志/卷35.txt,
施延,189,後漢書,第三十九章:郭陈列传,书御，有诏拜有道高第士沛国施延为侍中，延后位至太尉。,data/raw/mirror/後漢書/列传/第三十九章-郭陈列传.txt,
施延,1260,後漢書,46,」書御，有詔拜有道高第士沛國施延為侍中，延後位至太尉。,data/raw/後漢書/卷46.txt,
元以来,441,漢書,第三十章:张汤传,”及禹诛灭，而安世子孙相继，自宣、元以来为侍中、中常侍、诸曹散骑、列校尉者凡十余人。,data/raw/mirror/漢書/传/第三十章-张汤传.txt,
元以来,1596,漢書,059,」及禹誅滅，而安世子孫相繼，自宣、元以來為侍中、中常侍、諸曹散騎、列校尉者凡十餘人。,data/raw/漢書/卷059.txt,
康为,292,後漢書,第六章:邓寇列传,及从兄骘诛，安帝征康为侍中。,data/raw/mirror/後漢書/列传/第六章-邓寇列传.txt,
来为,441,漢書,第三十章:张汤传,”及禹诛灭，而安世子孙相继，自宣、元以来为侍中、中常侍、诸曹散骑、列校尉者凡十余人。,data/raw/mirror/漢書/传/第三十章-张汤传.txt,
任并,469,漢書,第五十四章:王商史丹傅喜传,有子男女二十人，九男皆以丹任并为侍中、诸曹，亲近在左右。,data/raw/mirror/漢書/传/第五十四章-王商史丹傅喜传.txt,
任为,508,漢書,第四十三章:隽疏于薛平彭传,少时，耆酒多过失，年且三十，乃折节修行，以父任为侍中中郎将、长水校尉。,data/raw/mirror/漢書/传/第四十三章-隽疏于薛平彭传.txt,
康為,1157,後漢書,16,及從兄騭誅，安帝征康為侍中。,data/raw/後漢書/卷16.txt,
元舅,1508,漢書,010,以元舅侍中衞尉陽平侯王鳳爲大司馬大將軍，領尚書事。,data/raw/漢書/卷010.txt,
来為,1596,漢書,059,」及禹誅滅，而安世子孫相繼，自宣、元以來為侍中、中常侍、諸曹散騎、列校尉者凡十餘人。,data/raw/漢書/卷059.txt,
任為,1626,漢書,071,少時，耆酒多過失，年且三十，乃折節修行，以父任為侍中中郎將、長水校尉。,data/raw/漢書/卷071.txt,
任並爲,1658,漢書,082,有子男女二十人，九男皆以丹任並爲侍中、諸曹，親近在左右。,data/raw/漢書/卷082.txt,
