person,n_evidence,books,sample1,sample2,decision,merge_into,note
窦宪,16,後漢書|後漢紀|東觀漢記,于是京师贵戚卫尉马廖、侍中窦宪慕其行，各奉书致礼，革无所报受。,皇后弟侍中窦宪，荐真定令张林为尚书，帝以问宠，宠对“林虽有才能，而素行贪浊”，宪以此深恨宠。,留,,
杜乔,11,三國志|全後漢文|後漢書|後漢紀,【漢安元年】，拜光祿大夫，與侍中杜喬等八人同日受詔，持節分出，案行天下貪廉，墨綬有罪便收，刺史二千石以驛表聞，威惠清忠，名振郡國，號曰八雋。,侍中杜喬，學深行直，當世良臣，久託疾病，可敕令起。,留,,
贾逵,10,後漢書|東觀漢記,和帝时，侍中贾逵荐尤有相如、杨雄之风，召诣东观，受诏作赋，拜兰台令史。,积十余岁，至永元十年，有司复奏之，侍中贾逵因上书曰：“孔子称‘能以礼让为国，于从政乎何有’。,留,,
金安上,8,全漢文|漢書,霍氏谋反，惲先闻知，因侍中金安上以闻，召见言状。,平恩侯与侍中金安上等径出入省中。,留,,
刘廙,7,三國志|隸釋|集古錄,」魏王侍中劉廙、辛毗、劉曄、尚書令桓階、尚書陳矯、陳羣、給事黃門侍郎王毖、董遇等言：「臣伏讀左中郎將李伏上事，考圖緯之言，以效神明之應，稽之古代，未有不然者也。,」侍中劉廙、常侍衞臻等奏議曰：「漢氏遵唐堯公天下之議，陛下以聖德膺歷數之運，天人同忻，靡不得所，宜順靈符，速踐皇阼。,留,,
刘晔,7,三國志,居數日，獨見侍中劉曄，語盡日。,文帝問侍中劉曄等：「武都太守何如人也？,留,,
刘艾,6,全後漢文|後漢書|後漢紀,既知不实，使侍中刘艾出让有司。,帝疑赋恤有虚，乃亲于御坐前量试作糜，乃知非实，使侍中刘艾出让有司。,留,,
周广,6,後漢書,明年，中常侍樊丰与大将军耿宝、侍中周广、谢惲等共谗陷太尉杨震，震遂自杀。,时诏遣使者大为阿母修弟，中常侍樊丰及侍中周广、谢恽等更相扇动，倾摇朝廷。,留,,
王林卿,6,全漢文|漢書,初，邛成太后外家王氏贵，而侍中王林卿通轻侠，倾京师。,“故侍中王林卿坐杀人埋冢舍，使奴剥寺门鼓。,留,,
马宇,5,三國志|後漢書,侍中马宇与谏议大夫种邵、左中郎将刘范等谋，欲使腾袭长安，己为内应，以诛傕等。,时腾私有求于C765，不获而怒，遂与侍中马宇、右中郎将刘范、前凉州刺史种劭、中郎将杜禀合兵攻C765，连日不决。,留,,
刘岱,4,三國志|後漢書,进用颍川荀爽、韩融、陈纪等为公、卿、郡守，拜尚书韩馥为冀州牧，侍中刘岱为兖州刺史，颍川张咨为南阳太守，陈留孔伷为豫州刺史，东郡张邈为陈留太守，而迁靖巴郡太守，不就，补御史中丞。,以尚书韩馥为冀州刺史，侍中刘岱为兗州刺史，陈留孔亻由为豫州刺史，颍川张咨为南阳太守。,留,,
刘瑜,4,後漢書,武于是引同志尹勋为尚书令，刘瑜为侍中，冯述为屯骑校尉；,九月辛亥，中常侍曹节矫诏诛太傅陈蕃、大将军窦武及尚书令尹勋、侍中刘瑜、屯骑校尉冯述，皆夷其族。,留,,
周毖,4,三國志|後漢紀,侍中周毖、城门校尉伍琼、议郎何颙等，皆名士也，卓信之，而阴为绍，乃说卓曰：“夫废立大事，非常人所及。,侍中周毖、城門校尉伍瓊、議郎何顒等，皆名士也，卓信之，而陰爲紹，乃說卓曰：「夫廢立大事，非常人所及。,留,,
王沈,4,三國志,事已觉露，直欲因际会举兵入西宫杀吾，出取大将军，呼侍中王沈、散骑常侍王业、尚书王经，出怀中黄素诏示之，言今日便当施行。,」傅暢《晉諸公贊》曰：帝常與中護軍司馬望、侍中王沈、散騎常侍裴秀、黃門侍郎鍾會等講宴於東堂，并屬文論。,留,,
虞子和,4,三國志|後漢書,虞子和为侍中，在长安。,时，虞子和为侍中，因此遣和潜从武关出，告虞将兵来迎。,留,,
许章,4,漢書,时，侍中许章以外属贵幸，奢淫不奉法度，宾客犯事，与章相连。,時侍中許章以外屬貴幸，奢淫不奉法度，賓客犯事，與章相連。,留,,
刘歆,3,全後漢文|後漢書,建平中，侍中刘歆欲立《左氏》，不先暴论大义，而轻移太常，恃其义长，诋挫诸儒，诸儒内怀不服，相与排之。,建平中，侍中劉歆欲立《左氏》，不先暴論大義，而輕移太常，恃其義長，詆挫諸儒，諸儒內懷不服，相與排之。,留,,
孙峻,3,三國志,权疾困，召恪、弘及太常滕胤、将军吕据、侍中孙峻，属以后事。,權疾困，召恪、弘及太常滕胤、將軍呂據、侍中孫峻，屬以後事。,留,,
张辟彊,3,史記|漢書,留侯子张辟彊为侍中，年十五，谓丞相曰：“太后独有孝惠，今崩，哭不悲，君知其解乎？,留侯子張辟彊為侍中，年十五，謂丞相曰：「太后獨有孝惠，今崩，哭不悲，君知其解乎？,留,,
杨琦,3,三國志|全後漢文|後漢紀,侍中楊琦上封事曰：「傕，邊鄙之人，習於夷風，今又自知所犯悖逆，常有怏怏之色，欲輔車駕幸黃白城以紓其憤。,（注：《魏志?董卓傳》注引《獻帝起居注》︰「李傕移乘輿幸北塢，侍中楊琦上封事。,留,,
王邑,3,全漢文|漢書,出侍中王邑、射声校尉王邯等。,前大行尸柩在堂，而官爵臣等?及親屬，赫然皆貴寵，封舅爲陽安矦，皇后尊號未定，豫封父爲孔鄕矦，出侍中王邑、射聲校尉王邯等。,留,,
董允,3,三國志,诸葛亮与长史蒋琬、侍中董允书曰：“孝起前临至吴，为吾说正方腹中有鳞甲，乡党以为不可近。,后主以问侍中董允、留府长史蒋琬，琬、允咸保仪疑延。,留,,
许相,3,全後漢文|後漢書,伏闻中常侍曹节、王甫、张让等，及侍中许相，并为列侯。,伏聞中常侍曹節、王甫、張讓等，及侍中許相，竝爲列矦。,留,,
金敞,3,前漢紀|漢書,望之选白宗室明经达学散骑、谏大夫刘更生给事中，与侍中金敞并拾遗左右。,時蕭望之周堪劉向及侍中金敞安上子中正敢言?,留,,
金迁,3,後漢書|後漢紀,上愈親厚之融久不自安數辭讓爵位因侍中金遷?,融小心，久不自安，数辞让爵位，因侍中金迁口达至诚。,留,,
任芝,2,後漢書,书奏，帝欲止，以问侍中任芝、中常侍乐松。,」書奏，帝欲止，以問侍中任芝﹑中常侍樂松。,留,,
伍琼,2,後漢書,公业等与侍中伍琼、卓长史何颙共说卓，以袁绍为勃海太守，以发山东之谋。,公業等與侍中伍瓊、卓長史何顒共說卓，以袁紹爲勃海太守，以發山東之謀。,留,,
何晏,2,三國志,时曹爽秉权，将树其党，徙毓仆射，以侍中何晏代毓。,時曹爽秉权，將树其黨，徙毓仆射，以侍中何晏代毓。,留,,
侯王邑,2,漢書,莽从弟成都侯王邑为侍中，矫称太皇太后指白哀帝，为莽求特进给事中。,莽從弟成都侯王邑為侍中，矯稱太皇太后指白哀帝，為莽求特進給事中。,留,,
傅俊迎,2,後漢書,光武即位，令侍中傅俊迎后，与胡阳、宁平主诸宫人俱到洛阳，以后为贵人。,光武即位，令侍中傅俊迎-{后}-，與胡陽、寧平主諸宮人俱到洛陽，以-{后}-爲貴人。,留,,
傅商,2,漢書,二月，封帝太太后从弟侍中傅商为汝昌侯，太后同母弟子侍中郑业为阳信侯。,二月，封帝太太后從弟侍中傅商為汝昌侯，太后同母弟子侍中鄭業為陽信侯。,留,,
傅巽掐,2,三國志,侍中傅巽掐则曰：“不谓卿也。,侍中傅巽掐（注：音苦洽反。,并 傅巽,此处断句有误，应为傅巽/掐,
元中,2,後漢書,历字伯珍，少袭爵，以公主子，永元中为侍中，监羽林右骑。,歷字伯珍，少襲爵，以公主子，永元中為侍中，監羽林右騎。,改  来历,此处断句有误，永元是年号,
元以来,2,漢書,”及禹诛灭，而安世子孙相继，自宣、元以来为侍中、中常侍、诸曹散骑、列校尉者凡十余人。,」及禹誅滅，而安世子孫相繼，自宣、元以來為侍中、中常侍、諸曹散騎、列校尉者凡十餘人。,改  ,此处列侍中仅为官职,
冯述,2,後漢書,武于是引同志尹勋为尚书令，刘瑜为侍中，冯述为屯骑校尉；,武於是引同志尹勳為尚書令，劉瑜為侍中，馮述為屯騎校尉；,改 刘瑜,理解有误，冯述是囤骑都尉,
刘恭,2,後漢書,初，侍中刘恭以赤眉立其弟盆子，自系诏狱：闻更始败，乃出，步从至高陵，止传舍。,初，侍中劉恭以赤眉立其弟盆子，自繫詔獄；,留,,
刘昆俱,2,後漢書,二十年，拜侍中祭酒、骑都尉，与侍中刘昆俱在光武左右，每事谘访焉。,二十年，拜侍中祭酒、騎都尉，與侍中劉昆俱在光武左右，每事諮訪焉。,改 丁恭、刘昆,断句有误  此句中涉及多位侍中  东汉时期存在多位侍中时设置侍中祭酒作为侍中之长的情况,
刘珍,2,後漢書,又遣中常侍奉太牢祠典，护礼仪侍中刘珍等及宗室列侯皆往会事。,又遣中常侍奉太牢祠典，護禮儀侍中劉珍等及宗室列侯皆往會事。,留,,
刘能卿,2,後漢書,侍中刘能卿知其谋，以告之。,侍中劉能卿知其謀，以告之。,留,,
刘艾大,2,三國志|後漢書,傕兵數百人皆持大戟在乘輿車左右，侍中劉艾大呼云：「是天子也。,傕兵數百人皆持大戟在乘輿車前，侍中劉艾大呼云：『是天子也！,改 刘艾,断句有误，是刘艾/大呼,
卫尉傅,2,漢書,哀帝初即位，召寻待诏黄门，使侍中卫尉傅喜问寻曰：“间者水出地动，日月失度，星辰乱行，灾异仍重，极言毋有所讳。,哀帝初即位，召尋待詔黃門，使侍中衛尉傅喜問尋曰：「間者水出地動，日月失度，星辰亂行，災異仍重，極言毋有所諱。,改 傅喜,断句有误 傅喜一人有多个官职 所以侍中卫尉连用,
卫尉定,2,漢書,后数年，皇太后姊子侍中卫尉定陵侯淳于长有罪，上以太后故，免官勿治罪。,後數年，皇太后姊子侍中衛尉定陵侯淳于長有罪，上以太后故，免官勿治罪。,改 淳于长,断句有误，淳于长一人有多个官职，此处为连用，你理解有误,
卫尉淳,2,前漢紀|漢書,二月，封侍中卫尉淳于长为定陵侯。,必亡矣二月封侍中衛尉淳于長爲定陵侯三月行?,改 淳于长,同样，断句有误,
卫尉金,2,漢書,”侍中卫尉金安上上书言：“贺，天之所弃，陛下至仁，复封为列侯。,」侍中衛尉金安上上書言：「賀，天之所棄，陛下至仁，復封為列侯。,改 金安上,断句有误,
卫尉长,2,漢書,岁余，赵皇后得立，上甚德之，乃追显长前功，下诏曰：“前将作大匠解万年奏请营作昌陵，罢弊海内，侍中卫尉长数白宜止徙家反故处，朕以长言下公卿，议者皆合长计。,侍中卫尉长数白宜早止，徙家反故处。,改 淳于长,,
史闕書,2,隸釋|集古錄,侍中史闕書也碑又云固疾遜位拜光禄大夫遷衛?,云遷侍中其前自長史入登侍中史闕書也碑又云固?,改 刘宽,这里是刘宽的碑，史阙书是从长史升任侍中，史书有缺,
史高,2,全漢文|漢書,侍中史高与金安上建发其事，言无入霍氏禁闼，卒不得遂其谋，皆雠有功。,侍中史高與金安上建發其事，言無入霍氏禁闥，卒不得遂其謀，皆讎有功。,留,,
向栩,2,後漢書,侍中向栩、张钧坐言宦者，下狱死。,侍中向栩、張鈞坐言宦者，下獄死。,改 向栩、张钧,两人都是侍中,
周官,2,全後漢文,侍中，周官，號曰常伯。,侍中，周官也。,删,这里侍中是官职名，周官形容其历史久远的意思,
孙邕,2,三國志,正始二年，太仆陶丘一、永宁卫尉孟观、侍中孙邕、中书侍郎王基荐宁曰：,【正始二年】，太僕陶丘一、永寧衞尉孟觀、侍中孫邕、中書侍郎王基薦寧曰：,留,,
尹勋,2,後漢書,及帝崩，大将军窦武欲大诛宦官，乃引瑜为侍中，又以侍中尹勋为尚书令，共同谋画。,及帝崩，大將軍竇武欲大誅宦官，乃引瑜為侍中，又以侍中尹勳為尚書令，共同謀畫。,留,,
尹忠爲,2,全後漢文|後漢紀,===報楊定請侍中尹忠爲長史詔（注：八月）===,免冠徒跣謝後將軍楊定請侍中尹忠爲長史詔曰?,改  尹忠,,
张紹,2,三國志,謹遣私署侍中張紹、光祿大夫譙周、駙馬都尉鄧良奉繼印綬，請命告誠，敬輸忠款，存亡敕賜，惟所裁之。,尚書令樊建、侍中張紹、光祿大夫譙周、秘書令卻正、殿中督張通並封列侯。,留,,
张绍,2,三國志,谨遣私署侍中张绍、光禄大夫谯周、驸马都尉邓良奉赍印缓，请命告诚，敬输忠款，存亡敕赐，惟所裁之。,尚书令樊建、侍中张绍、光禄大夫谯周、秘书令郤正、殿中督张通并封列侯。,留,,
朱展,2,後漢書,十一月庚午，李傕、郭汜等追乘舆，战于东涧，王师败绩，杀光禄勋邓泉、卫尉士孙瑞、廷尉宣播、大长秋苗祀、步兵校尉魏桀、侍中朱展、射声校尉沮俊。,）步兵校尉魏桀、侍中朱展、射聲校尉沮儁。,留,,
李延年,2,史記,至今上即位，作《十九章》，令侍中李延年次序其声，拜为协律都尉。,至今上即位，作十九章，令侍中李延年次序其聲，拜為協律都尉。,留,,
杜辅,2,漢書,皇后使侍中杜辅、掖庭令浊贤交送政君太子宫，见丙殿。,皇-{后}-使侍中杜輔、掖庭令濁賢交送政君太子宮，見丙殿。,留,,
