person,cand_row,book,juan,sentence,source_file,alias_in_sentence
卫青,123,史記,第五十一章:卫将军骠骑列传,上闻，乃召青为建章监，侍中，及同母昆弟贵，赏赐数日间累千金。,,建章监、侍中
卫青,125,史記,第五十一章:卫将军骠骑列传,然少而侍中，贵，不省士。,,少而侍中贵
卫青,131,史記,第六十章:汲郑列传,大将军青侍中，上踞厕而视之。,,侍中
卫青,134,史記,第十九章:外戚世家,召其兄卫长君弟青为侍中。,,
卫青,1087,史記,049,召其兄衛長君弟青為侍中。,,外戚世家
卫青,1097,史記,111,上聞，乃召青為建章監，侍中，及同母昆弟貴，賞賜數日閒累千金。,,建章监、侍中
卫青,1099,史記,111,然少而侍中，貴，不省士。,,少而侍中贵
卫青,1102,史記,120,大將軍青侍中，上踞廁而視之。,,侍中，上踞厕视之
卫青,446,漢書,第二十五章:卫青霍去病传,然少而侍中，贵不省士。,,少而侍中贵
卫青,451,漢書,第二十章:张冯汲郑传,大将军青侍中，上踞厕视之。,,侍中
卫青,1582,漢書,050,大將軍青侍中，上踞廁視之。,,侍中，上踞厕视之
卫青,1589,漢書,055,然少而侍中，貴不省士。,,少而侍中贵
荀彘,126,史記,第五十一章:卫将军骠骑列传,以御见，侍中，为校尉，数从大将军。,,
荀彘,127,史記,第五十五章:朝鲜列传,左将军素侍中，幸，将燕代卒，悍，乘胜，军多骄。,,
荀彘,1100,史記,111,以御見，侍中，為校尉，數從大將軍。,,
荀彘,1101,史記,115,左將軍素侍中，幸，將燕代卒，悍，乘勝，軍多驕。,,朝鲜列传左将军
荀彘,447,漢書,第二十五章:卫青霍去病传,荀彘，太原广武人，以御见，侍中，用校尉数从大将军。,,以御见侍中
荀彘,480,漢書,第六十九章:西南夷两粤朝鲜传,左将军素侍中，幸，将燕，代卒，悍，乘胜，军多骄。,,
荀彘,1590,漢書,055,荀彘，太原廣武人，以御見，侍中，用校尉數從大將軍。,,以御见侍中
荀彘,1688,漢書,095,左將軍素侍中，幸，將燕，代卒，悍，乘勝，軍多驕。,,朝鲜列传左将军
朱买臣,128,史記,第六十二章:酷吏列传,庄助使人言买臣，买臣以楚辞与助俱幸，侍中，为太中大夫，用事；,,
朱买臣,1103,史記,122,莊助使人言買臣，買臣以楚辭與助倶幸，侍中，爲太中大夫，用事；,,与严助俱幸侍中
朱买臣,428,漢書,第三十五章:严朱吾丘主父徐严终王,始，买臣与严助俱侍中，贵用事，汤尚为小吏，趋走买臣等前。,,
朱买臣,1601,漢書,064上,始買臣與嚴助俱侍中，貴用事，湯尚爲小吏，趨走買臣等前。,,
卫伉,135,史記,第十九章:外戚世家,四子，长子伉为侯世子，侯世子常侍中，贵幸。,,青长子
卫伉,1088,史記,049,四子，長子伉為侯世子，侯世子常侍中，貴幸。,,青长子
李棽,380,漢書,第七十七章:王莽传下,乃拜侍中掌牧大夫李棽为大将军、扬州牧，赐名圣，使将兵奋击。,,新莽侍中掌牧大夫
李棽,1714,漢書,099下,莽以王況讖言荊楚當興，李氏為輔，欲厭之，乃拜侍中掌牧大夫李棽為大將軍、揚州牧，賜名聖，使將兵奮擊。,,新莽侍中掌牧大夫
刘棻,383,漢書,第七十七章:王莽传下,”伊休侯者，歆长子也，为侍中五官中朗将，莽素爱之。,,歆长子，侍中五官中郎将；名从考
刘棻,1717,漢書,099下,」伊休侯者，歆長子也，為侍中五官中郎將，莽素愛之。,,歆长子，侍中五官中郎将；名从考
甄邯,397,漢書,第七十五章:王莽传上,莽以大司徒孔光名儒，相三主，太后所敬，天下信之，于是盛尊事光，引光女婿甄邯为侍中奉车都尉。,,
甄邯,1709,漢書,099上,莽以大司徒孔光名儒，相三主，太后所敬，天下信之，於是盛尊事光，引光女婿甄邯為侍中奉車都尉。,,奉车都尉
