person,cand_row,book,juan,sentence,source_file,alias_in_sentence
乐松,169,後漢書,第七十四章:儒林列传上,永平初，迁侍中祭酒。,,
乐松,299,後漢書,第十七章:宣张二王杜郭吴承郑赵,十七年，拜侍中祭酒。,,
乐松,303,後漢書,第十七章:宣张二王杜郭吴承郑赵,永平十七年，拜侍中祭酒。,,
乐松,313,後漢書,第十五章:卓鲁魏刘列传,更始立，以茂为侍中祭酒，从至长安，知更始政乱，以年老乞骸骨归。,,
乐松,1178,後漢書,25,更始立，以茂為侍中祭酒，從至長安，知更始政亂，以年老乞骸骨歸。,,
乐松,1193,後漢書,27,十七年，拜侍中祭酒。,,
乐松,1351,後漢書,79上,永平初，遷侍中祭酒。,,
周举,1303,後漢書,61,時詔遣八使巡行風俗，皆選素有威名者，乃拜舉為侍中，舉侍中杜喬、守光祿大夫周栩、前青州刺史馮羨、尚書欒巴、侍御史張綱、兗州刺史郭遵、太尉長史劉班並守光祿大夫，分行天下。,,
张布,7,三國志,第三章:三嗣主传,元兴元年八月，以上大将军施绩、大将军丁奉为左右大司马，张布为骠骑将军，加侍中，诸增位班赏，一皆如旧。,,
是仪,15,三國志,第十七章:是仪胡综传,权下都建业，详、综并为侍中，进封乡侯，兼左右领军。,,
是仪,791,三國志,62,權下都建業，詳、綜並為侍中，進封鄉侯，兼左、右領軍。,,
马良,24,三國志,第九章:董刘马陈董吕传,先主称尊号，以良为侍中。,,
马良,750,三國志,39,先主稱尊號，以良為侍中。,,
董允,27,三國志,第九章:董刘马陈董吕传,“亮寻请祎为参军，允迁为侍中，领虎贲中郎将，统宿卫亲兵。,,
董允,753,三國志,39,」亮尋請禕為參軍，允遷為侍中，領虎賁中郎將，統宿衛親兵。,,
费祎,28,三國志,第九章:董刘马陈董吕传,七年，以侍中守尚书令，为大将军费祎副贰。,,
费祎,30,三國志,第九章:董刘马陈董吕传,吕乂卒，祗又以侍中守尚书令，加镇军将军，大将军姜维虽班在祗上，常率众在外，希亲朝政。,,
费祎,754,三國志,39,七年，以侍中守尚書令，為大將軍費禕副貳。,,
费祎,756,三國志,39,呂乂卒，祗又以侍中守尚書令，加鎮軍將軍，大將軍姜維雖班在祗上，常率眾在外，希親朝政。,,
陈祗,29,三國志,第九章:董刘马陈董吕传,陈祗代允为侍中，与黄皓互相表里，皓始预政事。,,
陈祗,755,三國志,39,陳祗代允為侍中，與黃皓互相表裡，皓始預政事。,,
荀勖,34,三國志,第五章:诸葛亮传,臣寿等言：臣前在著作郎，侍中领中书监济北侯臣荀勖、中书令关内侯臣和峤奏，使臣定故蜀丞相诸葛亮故事。,,
荀勖,744,三國志,35,臣壽等言：臣前在著作郎，侍中領中書監濟北侯臣荀勖、中書令關內侯臣和嶠奏：使臣定故蜀丞相諸葛亮故事。,,
关统,38,三國志,第六章:关张马黄赵传,弱冠为侍中、中监军，数岁卒。,,
关统,747,三國志,36,弱冠為侍中、中監軍，數歲卒。,,
陈群,64,三國志,第二十二章:桓二陈徐卫卢传,群转为侍中，领丞相东西曹掾。,,
陈泰,66,三國志,第二十二章:桓二陈徐卫卢传,后徵泰为尚书右仆射，典选举，加侍中光禄大夫。,,
陈泰,67,三國志,第二十二章:桓二陈徐卫卢传,加侍中光禄大夫，迁司徒。,,
陈泰,68,三國志,第二十二章:桓二陈徐卫卢传,“帝遂以宣为左仆射，后加侍中光禄大夫。,,
陈泰,705,三國志,22,後徵泰爲尚書右仆射，典選舉，加侍中光禄大夫。,,
陈泰,706,三國志,22,”）加侍中光禄大夫，遷司徒。,,
某璩,734,三國志,29,璩六十一為侍中，直省內，欻見白狗，問之眾人，悉無見者。,,
廖立,757,三國志,40,二十四年，先主為漢中王，徵立為侍中。,,
