person,sentence,reason,book
李蔡,以御见，侍中，为校尉，数从大将军。,not_confirmed,史記
李蔡,以御見，侍中，為校尉，數從大將軍。,not_confirmed,史記
赵食其,以御见，侍中，为校尉，数从大将军。,not_confirmed,史記
赵食其,以御見，侍中，為校尉，數從大將軍。,not_confirmed,史記
王满,左将军素侍中，幸，将燕代卒，悍，乘胜，军多骄。,drop/rename,史記
王山,以父桀為將軍故貴，侍中，事昭帝。,drop/rename,史記
王山,入侍中，授昭帝韓詩，為御史大夫。,drop/rename,史記
王山,通詩、禮、尚書，為博士，授魯大儒，入侍中，為昭帝師，遷為光祿大夫，大鴻臚，長信少府。,drop/rename,史記
王山,侍中，事昭帝。,drop/rename,史記
王滿,左將軍素侍中，幸，將燕代卒，悍，乘勝，軍多驕。,drop/rename,史記
朱買臣,莊助使人言買臣，買臣以楚辭與助倶幸，侍中，爲太中大夫，用事；,not_confirmed,史記
贾捐之,上使侍中、驸马都尉、乐昌侯王商诘问捐之曰：“珠厓内属为郡久矣，今背畔逆节，而云不当击，长蛮夷之乱，亏先帝功德，经义何以处之？,not_confirmed,漢書
李息,荀彘，太原广武人，以御见，侍中，用校尉数从大将军。,not_confirmed,漢書
李息,荀彘，太原廣武人，以御見，侍中，用校尉數從大將軍。,not_confirmed,漢書
施雠,待诏黄门数入说教侍中，以召贺。,drop/rename,漢書
梁丘贺,待诏黄门数入说教侍中，以召贺。,drop/rename,漢書
周堪,元帝即位，地馀侍中，贵幸，至少府。,not_confirmed,漢書
周堪,元帝即位，地餘侍中，貴幸，至少府。,not_confirmed,漢書
石显,天子召见，欲以为侍中，逡请间言事。,drop/rename,漢書
何并,会日暮追及，收缚冠奴，奴曰：“我非侍中，奴耳。,not_confirmed,漢書
金日磾,上奇焉，即日赐汤沐衣冠，拜为马监，迁侍中、驸马都尉、光禄大夫。,drop/rename,漢書
金日磾,上竒焉，即日賜湯沐衣冠，拜爲馬監，遷侍中駙馬都尉光祿大夫。,drop/rename,漢書
施讎,待詔黃門數入說教侍中，以召賀。,not_confirmed,漢書
梁丘賀,待詔黃門數入說教侍中，以召賀。,not_confirmed,漢書
石顯,天子召見，欲以爲侍中，逡請間言事。,not_confirmed,漢書
董賢,初，長爲侍中，奉兩宮使，親密。,not_confirmed,漢書
董賢,賢寵愛日甚，爲駙馬都尉侍中，出則參乘，入御左右，旬月間賞賜累巨萬，貴震朝廷。,not_confirmed,漢書
王莽,遷騎都尉光祿大夫侍中，宿衛謹敕，爵位益尊，節操愈謙。,not_confirmed,漢書
周泽,十八年，以病乞身，为侍中骑都尉，卒于官。,not_confirmed,後漢書
周泽,”十八年，拜侍中骑都尉。,not_confirmed,後漢書
程曾,永平初，为侍中、越骑校尉，入讲省内。,not_confirmed,後漢書
程曾,岁余复征，再迁侍中，卒于官。,not_confirmed,後漢書
程曾,永平初，為侍中、越騎校尉，入講省內。,not_confirmed,後漢書
程曾,歲餘复徵，再遷侍中，卒於官。,not_confirmed,後漢書
张玄,岁余复征，再迁侍中，卒于官。,not_confirmed,後漢書
张玄,歲餘复徵，再遷侍中，卒於官。,not_confirmed,後漢書
许慎,迁侍中，出为弘农太守，卒官。,not_confirmed,後漢書
许慎,遷侍中，出為弘農太守，卒官。,not_confirmed,後漢書
赵苞,征拜侍中，每朝廷大事，侃然正色，百官惮之。,not_confirmed,後漢書
赵苞,征拜侍中，每朝廷大事，侃然正色，百官惮之。,not_confirmed,後漢書
李尤,永宁元年，太后又诏珍与B05A駼作建武已来名臣传，迁侍中、越骑校尉。,not_confirmed,後漢書
李尤,顺帝时，为侍中。,not_confirmed,後漢書
李尤,{{YL|永-{寧}-元年}}，太-{後}-又詔珍與騊駼作建武已來名臣傳，遷侍中、越騎校尉。,not_confirmed,後漢書
任安,征拜议郎，稍迁侍中、弘农太守。,not_confirmed,後漢書
任安,永平初，迁侍中祭酒。,not_confirmed,後漢書
任安,帝善之，拜为侍中，数进见问得失。,not_confirmed,後漢書
任安,永平初，遷侍中祭酒。,not_confirmed,後漢書
杨政,永平初，迁侍中祭酒。,not_confirmed,後漢書
杨政,帝善之，拜为侍中，数进见问得失。,not_confirmed,後漢書
杨政,永平初，遷侍中祭酒。,not_confirmed,後漢書
杨政,帝善之，拜爲侍中，数进見問得失。,not_confirmed,後漢書
张兴,”帝即敕尚书解遵禁锢，拜凭虎贲中郎将，以侍中兼领之。,not_confirmed,後漢書
阴曹曾,顺帝以登明识礼乐，使持节临太学，奏定曲律，转拜侍中。,drop/rename,後漢書
阴曹曾,擢拜侍中，典领秘书近署，甚见纳异。,drop/rename,後漢書
阴曹曾,顺帝以登明識禮乐，使持節臨太學，奏定曲律，轉拜侍中。,drop/rename,後漢書
阴曹曾,擢拜侍中，典領秘書近署，甚見纳异。,drop/rename,後漢書
宋登,顺帝以登明识礼乐，使持节临太学，奏定曲律，转拜侍中。,not_confirmed,後漢書
宋登,擢拜侍中，典领秘书近署，甚见纳异。,not_confirmed,後漢書
宋登,顺帝以登明識禮乐，使持節臨太學，奏定曲律，轉拜侍中。,not_confirmed,後漢書
宋登,擢拜侍中，典領秘書近署，甚見纳异。,not_confirmed,後漢書
贾复,少为侍中、虎贲中郎将，朝廷多称其能。,not_confirmed,後漢書
于配天,建光中，公车特征，至，拜侍中。,not_confirmed,後漢書
王扶,永平中，辟太尉府，显宗素闻其行，诏拜谏议大夫，迁侍中，又迁长乐卫尉。,not_confirmed,後漢書
王扶,永平中，辟太尉府，顯宗素聞其行，詔拜諫議大夫，遷侍中，又遷長樂衛尉。,not_confirmed,後漢書
淳于恭,引见极日，访以政事，迁侍中骑都尉，礼待甚优。,not_confirmed,後漢書
郑玄,有顷征，再迁，复为侍中。,not_confirmed,後漢書
郑玄,有頃征，再遷，復為侍中。,not_confirmed,後漢書
丁鸿,顷之，拜侍中。,not_confirmed,後漢書
虞延,尚显宗女获嘉长公主，少为侍中，以恭肃谦约称，位至将作大匠。,not_confirmed,後漢書
虞延,定弟石，袭母公主封获嘉侯，亦为侍中，稍迁卫尉。,not_confirmed,後漢書
虞延,尚顯宗女獲嘉長公主，少為侍中，以恭肅謙約稱，位至將作大匠。,not_confirmed,後漢書
虞延,定弟石，襲母公主封獲嘉侯，亦為侍中，稍遷衛尉。,not_confirmed,後漢書
孙放,出为平原相，征拜侍中。,not_confirmed,後漢書
阴识,迁侍中，以母忧辞归。,not_confirmed,後漢書
阴识,九年，迁侍中，赐爵关内侯。,not_confirmed,後漢書
许曼,稍迁侍中。,not_confirmed,後漢書
许曼,稍遷侍中。,not_confirmed,後漢書
赵彦,稍迁侍中。,not_confirmed,後漢書
赵彦,灵帝时，大将军何进荐扶，征拜侍中，甚见器重。,not_confirmed,後漢書
张者,灵帝时，大将军何进荐扶，征拜侍中，甚见器重。,drop/rename,後漢書
张者,靈帝時，大將軍何進薦扶，徵拜侍中，甚見器重。,drop/rename,後漢書
陈俊,光武即位，以为侍中、骑都尉。,not_confirmed,後漢書
陈俊,光武即位，以為侍中、騎都尉。,not_confirmed,後漢書
王考,又再迁侍中、虎贲中郎将。,drop/rename,後漢書
王考,又再遷侍中、虎賁中郎將。,drop/rename,後漢書
秦周,又再迁侍中、虎贲中郎将。,not_confirmed,後漢書
秦周,又再遷侍中、虎賁中郎將。,not_confirmed,後漢書
陈翔,察孝廉，举高第，三迁侍中。,not_confirmed,後漢書
孔昱,察孝廉，举高第，三迁侍中。,not_confirmed,後漢書
孔昱,」）察孝廉，舉高第，三遷侍中。,not_confirmed,後漢書
何进,光和三年，贵人立为皇后，征进入，拜侍中、将作大匠、河南尹。,not_confirmed,後漢書
朱俊,坚寿亦显名，后为侍中，辞不拜，病卒。,not_confirmed,後漢書
吴良,十七年，拜侍中祭酒。,not_confirmed,後漢書
郑均,十七年，拜侍中祭酒。,not_confirmed,後漢書
郑均,建和初，四府表荐，征拜议郎，侍讲禁内，再迁为侍中。,not_confirmed,後漢書
郑均,永平十七年，拜侍中祭酒。,not_confirmed,後漢書
郑均,建和初，四府表荐，征拜为议郎，侍讲宫中，再迁为侍中。,not_confirmed,後漢書
郑均,十七年，拜侍中祭酒。,not_confirmed,後漢書
郑均,建和初，四府表薦，征拜議郎，侍講禁內，再遷為侍中。,not_confirmed,後漢書
刘隆,世祖即位，以俊为侍中。,not_confirmed,後漢書
刘隆,世祖即位，以俊為侍中。,not_confirmed,後漢書
傅俊,世祖即位，以俊为侍中。,drop/rename,後漢書
傅俊,世祖即位，以俊為侍中。,drop/rename,後漢書
刘宣,更始立，以茂为侍中祭酒，从至长安，知更始政乱，以年老乞骸骨归。,not_confirmed,後漢書
刘宣,更始立，以茂為侍中祭酒，從至長安，知更始政亂，以年老乞骸骨歸。,not_confirmed,後漢書
冯勤,卯延光中为侍中，薨，子留嗣。,not_confirmed,後漢書
冯勤,卯延光中為侍中，薨，子留嗣。,not_confirmed,後漢書
侯赐,更始立，歙从入关，封为元氏王，终为侍中。,not_confirmed,後漢書
唐姬,父完，沉深有大度，袭爵不其侯，尚桓帝女阳安公主，为侍中。,not_confirmed,後漢書
侯賜,更始立，歙從入關，封為元氏王，終為侍中。,not_confirmed,後漢書
贾復,少為侍中、虎賁中郎將，朝廷多稱其能。,not_confirmed,後漢書
刘寬,十三年，遷為侍中，免。,not_confirmed,後漢書
刘寬,【永初二年】，詔公卿舉儒術篤學者，大將軍鄧騭舉丕，再遷，復為侍中、左中郎將，再為三老。,not_confirmed,後漢書
刘寬,遷侍中，賜衣一襲。,not_confirmed,後漢書
吳良,十七年，拜侍中祭酒。,not_confirmed,後漢書
阴識,遷侍中，以母憂辭歸。,not_confirmed,後漢書
阴識,九年，遷侍中，賜爵關內侯。,not_confirmed,後漢書
周章,出為平原相，徵拜侍中。,not_confirmed,後漢書
蔡義,議者皆以郁身爲名儒，學者之宗，可許之，於是詔郁以侍中行服」也。,not_confirmed,後漢書
夏侯勝,議者皆以郁身爲名儒，學者之宗，可許之，於是詔郁以侍中行服」也。,not_confirmed,後漢書
桓榮,一二五五頁一行以侍中監虎賁中郎將按：刊誤謂漢無監虎賁官，蓋是「兼」字，與丁鴻同也。,not_confirmed,後漢書
桓榮,禮讓甚見親厚郁以永平十四年為議郎遷侍中上自¶,not_confirmed,東觀漢記
於恭,引見極日，訪以政事，遷侍中騎都尉，禮待甚優。,not_confirmed,後漢書
张酺,及肅宗即位，擢酺為侍中、虎賁中郎將。,not_confirmed,後漢書
桑弘羊,桑弘羊，洛陽賈人也，以能心計為侍中。,uncertain,後漢書
何進,【光和二年】，貴人立為皇后，徵進入，拜侍中、將作大匠、河南尹。,not_confirmed,後漢書
荀攸,及帝都許，以彧爲侍中，守尚書令。,not_confirmed,後漢書
朱儁,堅壽亦顯名，後為侍中，辭不拜，病卒。,not_confirmed,後漢書
张興,帝善之，拜爲侍中，数进見問得失。,not_confirmed,後漢書
张興,”帝即敕尚書解遵禁锢，拜憑虎贲中郎将，以侍中兼領之。,not_confirmed,後漢書
周澤,十八年，以病乞身，為侍中騎都尉，卒於官。,not_confirmed,後漢書
周澤,」十八年，拜侍中騎都尉。,not_confirmed,後漢書
周澤,憲嗣爵乃徵愷拜為郎稍遷侍中愷之入朝在位者莫¶,not_confirmed,東觀漢記
钟興,永平初，為侍中、越騎校尉，入講省內。,not_confirmed,後漢書
赵彥,稍遷侍中。,not_confirmed,後漢書
赵彥,靈帝時，大將軍何進薦扶，徵拜侍中，甚見器重。,not_confirmed,後漢書
赵氏,少辟侍中，襲先公之爵，㠯議郎出爲濟陰太守。,not_confirmed,全後漢文
段熲,桓帝㠯博士徵，拜議郎，著作東觀，進侍中，歷左馮翊、京兆尹，㠯疾免。,not_confirmed,全後漢文
史岑,拜侍中，免。,not_confirmed,全後漢文
侯允,亂之才由是徴拜議郎權爲青州刺史遷侍中尚書¶,not_confirmed,後漢紀
丁綝,涕歎息乃還就國兼射聲校尉(案范書本傳明帝永平/十三年鴻以侍中兼此)¶,not_confirmed,東觀漢記
丁鴻,涕歎息乃還就國兼射聲校尉(案范書本傳明帝永平/十三年鴻以侍中兼此)¶,not_confirmed,東觀漢記
桓譚,侍中兼領之正旦朝賀百僚畢㑹上令羣臣能說經者¶,not_confirmed,東觀漢記
刘般,憲嗣爵乃徵愷拜為郎稍遷侍中愷之入朝在位者莫¶,not_confirmed,東觀漢記
秦彭,嘉之賜布五百匹衣一襲拜侍中領騎都尉内備帷幄¶,not_confirmed,東觀漢記
曹褎,嘉之賜布五百匹衣一襲拜侍中領騎都尉内備帷幄¶,not_confirmed,東觀漢記
李育,李育字元春(案范書本傳/育扶風漆人)為侍中時章帝西謁園陵育¶,uncertain,東觀漢記
周儀,拜太中大夫復拜侍中屯騎校尉宗正光禄勲遂授¶,not_confirmed,隸釋
诸葛瑾,后为吴郡西部都尉，与诸葛恪等共平山越，别得精兵八千人，还屯军章坑，拜昭义中郎将，入为侍中。,not_confirmed,三國志
孙休,“戊戌，诏曰：“大将军掌中外诸军事，事统烦多，其加卫将军御史大夫恩侍中，与大将军分省诸事。,not_confirmed,三國志
张纮,玄子尚，孙皓时为侍郎，以言语辩捷见知，擢为侍中、中书令。,not_confirmed,三國志
秦松,玄子尚，孙皓时为侍郎，以言语辩捷见知，擢为侍中、中书令。,not_confirmed,三國志
秦松,嘉禾中，为中书令，加侍中。,not_confirmed,三國志
秦松,）孫皓時為侍郎，以言語辯捷見知，擢為侍中、中書令。,not_confirmed,三國志
陈端,嘉禾中，为中书令，加侍中。,not_confirmed,三國志
陈端,）孫皓時為侍郎，以言語辯捷見知，擢為侍中、中書令。,not_confirmed,三國志
刘繇,繇兄岱，字公山，历位侍中，兖州刺史。,not_confirmed,三國志
刘繇,）繇兄岱，字公山，歷位侍中，兗州刺史。,not_confirmed,三國志
刘巴,先主称尊号，以良为侍中。,not_confirmed,三國志
陈震,“亮寻请祎为参军，允迁为侍中，领虎贲中郎将，统宿卫亲兵。,not_confirmed,三國志
陈震,」亮尋請禕為參軍，允遷為侍中，領虎賁中郎將，統宿衛親兵。,not_confirmed,三國志
