book,juan,source_kind,source_file,match_type,hint_name,sentence,status,person,role_note,reviewer,cand_row,pilot,review_note
後漢書,第三十一章:刘赵淳于江刘周赵列传,mirror,data/raw/mirror/後漢書/列传/第三十一章-刘赵淳于江刘周赵列传.txt,含侍中,窦,于是京师贵戚卫尉马廖、侍中窦宪慕其行，各奉书致礼，革无所报受。,已录,窦宪,,,183,Y,
後漢書,第三十九章:郭陈列传,mirror,data/raw/mirror/後漢書/列传/第三十九章-郭陈列传.txt,含侍中,窦,皇后弟侍中窦宪，荐真定令张林为尚书，帝以问宠，宠对“林虽有才能，而素行贪浊”，宪以此深恨宠。,已录,窦宪,,,188,Y,
後漢書,第三十八章:袁张韩周列传,mirror,data/raw/mirror/後漢書/列传/第三十八章-袁张韩周列传.txt,含侍中,窦,和帝即位，侍中窦宪使人刺杀齐殇王子都乡侯暢于上东门，有司畏宪，咸委疑于暢兄弟。,已录,窦宪,,,193,Y,
後漢書,第三十六章:朱乐何列传,mirror,data/raw/mirror/後漢書/列传/第三十六章-朱乐何列传.txt,含侍中,窦,时齐殇王子都乡侯暢奔吊国忧，上书未报，侍中窦宪遂令人刺杀暢于城门屯卫之中，而主名不立。,已录,窦宪,,,195,Y,
後漢書,第二十一章:苏竟杨厚列传上,mirror,data/raw/mirror/後漢書/列传/第二十一章-苏竟杨厚列传上.txt,含侍中,,时大将军梁冀威权倾朝，遣弟侍中不疑以车马、珍玩致遗于厚，欲与相见。,已录,梁不疑,,,202,Y,
後漢書,第二十九章:桓荣丁鸿列传,mirror,data/raw/mirror/後漢書/列传/第二十九章-桓荣丁鸿列传.txt,含侍中,窦,和帝即位，富于春秋，侍中窦宪自以外戚之重，欲令少主颇涉经学，上疏皇太后曰：,已录,窦宪,,,213,Y,
後漢書,第二十五章:朱冯虞郑周列传,mirror,data/raw/mirror/後漢書/列传/第二十五章-朱冯虞郑周列传.txt,含侍中,窦,在位四年，奏尚书张林阿附侍中窦宪，而素行臧秽，又上洛阳令杨光，宪之宾客，在官贪残，并不宜处位。,已录,窦宪,,,221,Y,
後漢書,第五十章:杜栾刘李刘谢列传,mirror,data/raw/mirror/後漢書/列传/第五十章-杜栾刘李刘谢列传.txt,含侍中,,及帝崩，大将军窦武欲大诛宦官，乃引瑜为侍中，又以侍中尹勋为尚书令，共同谋画。,已录,刘瑜、尹勋,,,258,Y,此处是窦武想要引荐刘瑜做新任侍中，推举上任侍中尹勋做尚书令，还需再核查
後漢書,第八十章:方术列传下,mirror,data/raw/mirror/後漢書/列传/第八十章-方术列传下.txt,含侍中,,灵帝时，大将军何进荐扶，征拜侍中，甚见器重。,已录,董扶,,,265,Y,
後漢書,第六十三章:窦何列传,mirror,data/raw/mirror/後漢書/列传/第六十三章-窦何列传.txt,含侍中,刘,武于是引同志尹勋为尚书令，刘瑜为侍中，冯述为屯骑校尉；,已录,刘瑜,,,272,Y,
