name_simple,in_db,card,approx_in_db,hit_count,explicit_count,dynasty_db,person_id,sample_book,sample_juan,sample_sentence,phase,kinds
祭酒,N,N,,8,8,,,后汉书,卷25,更始立，以茂為侍中祭酒，從至長安，知更始政亂，以年老乞骸骨歸。,wangmang,人物
杜喬,N,N,,7,7,,,三国志,卷45,【漢安元年】，拜光祿大夫，與侍中杜喬等八人同日受詔，持節分出，案行天下貪廉，墨綬有罪便收，刺史二千石以驛表聞，威惠清忠，名振郡國，號曰八雋。,hanwei,人物
卫尉,N,N,,8,6,,,后汉书,卷54,帝崩後，復入為侍中衛尉，從獻帝西遷，有功勤。,donghan_late,人物;制度+人物
辛毗,N,N,,6,6,,,三国志,卷02,」於是侍中辛毗、劉曄、散騎常侍傅巽、衞臻、尚書令桓階、尚書陳矯、陳羣、給事中博士騎都尉蘇林、董巴等奏曰：「伏見太史丞許芝上魏國受命之符；,hanwei,人物;制度+人物
兄子璜,N,N,,4,4,,,后汉书,卷72,）以弟旻為左將軍，封鄠侯，兄子璜為侍中、中軍校尉，皆典兵事。,xihan_addition,人物
再迁,N,N,,4,4,,,后汉书,卷27,建和初，四府表薦，征拜議郎，侍講禁內，再遷為侍中。,xihan_addition,人物
用事,N,N,,4,4,,,史记,卷087,以趙高為郎中令，常侍中用事。,xihan_addition,人物
中郎将,N,N,,6,3,,,全汉文,卷四十三,歷太子中庶子、諸曹侍中中郎將。,donghan_bureau,人物
三迁,N,N,,3,3,,,后汉书,卷30上,及至，拜議郎，三遷為侍中，特蒙引見，訪以時政。,xihan_addition,人物
中郎,N,N,,3,3,,,全汉文,卷二十七,武帝時，待詔，遷侍中中郎，坐法免，復召爲郎，拜東郡都尉，入爲光祿大夫侍中，後坐事誅。,wudi_expansion,人物;制度+人物
刁玄,N,N,,3,3,,,三国志,卷48,」黃門不服，侍中刁玄、張邠啟：「黃門、藏吏辭語不同，請付獄推盡。,hanwei,人物
周廣,N,N,,3,3,,,后汉书,卷10下,」）侍中周廣、阿母野王君王聖、聖女永、永壻黃門侍郎樊嚴等，更相阿黨，互作威福，探刺禁省，更爲唱和，皆大不道。,xihan_addition,人物;制度+人物
子张辟彊,N,N,张辟彊,3,3,,,史记,卷009,留侯子張辟彊為侍中，年十五，謂丞相曰：「太后獨有孝惠，今崩，哭不悲，君知其解乎？,xihan_addition,人物
步兵,N,N,,3,3,,,后汉书,卷37,【永初元年】，入授安帝，三遷爲侍中步兵校尉。,xihan_addition,人物
淳于恭奏,N,N,淳于恭,3,3,,,后汉书,卷3,」）侍中淳于恭奏，帝親稱制臨決，如孝宣甘露石渠故事，作白虎議奏。,xihan_addition,制度+人物
王輔,N,N,,3,3,,,全后汉文,卷七,深恐在所慢違「如在」之義，今遣侍中王輔等，持節分詣岱山、東海、滎陽、河、洛，盡心祈焉。,donghan_bureau,人物
竇憲,N,N,,3,3,,,后汉书,卷33,在位四年，奏尚書張林阿附侍中竇憲，而素行臧穢，又上洛陽令楊光，憲之賓客，在官貪殘，並不宜處位。,donghan_mid,人物
行服,N,N,,3,3,,,后汉书,卷37,』」）肅宗即位，郁以母憂乞身，詔聽以侍中行服。,xihan_addition,人物
陈祗代允,N,N,陈祗,3,3,,,三国志,卷39,）陳祗陳祗代允為侍中，與黃皓互相表裡，皓始預政事。,hanwei,人物
不通,N,N,,2,2,,,三国志,卷06,諸將或遣婢詣省閤，或自齎酒啖，過天子飲，侍中不通，喧呼罵詈，遂不能止。,hanwei,人物
举为,N,N,,2,2,,,后汉书,卷61,」時詔遣八使巡行風俗，皆選素有威名者，乃拜舉為侍中，舉侍中杜喬、守光祿大夫周栩、前青州刺史馮羨、尚書欒巴、侍御史張綱、兗州刺史郭遵、太尉長史劉班並守光祿大夫，分行天下。,xihan_addition,人物
乃引瑜,N,N,,2,2,,,后汉书,卷57,及帝崩，大將軍竇武欲大誅宦官，乃引瑜為侍中，又以侍中尹勳為尚書令，共同謀畫。,xihan_addition,人物
乃拜举,N,N,,2,2,,,后汉书,卷61,」時詔遣八使巡行風俗，皆選素有威名者，乃拜舉為侍中，舉侍中杜喬、守光祿大夫周栩、前青州刺史馮羨、尚書欒巴、侍御史張綱、兗州刺史郭遵、太尉長史劉班並守光祿大夫，分行天下。,xihan_addition,人物
亲省起居,N,N,,2,2,,,三国志,卷16,（注：《魏略》曰：旧仪，侍中亲省起居，故俗谓之执虎子。,hanwei,人物
何晏代毓,N,N,何晏,2,2,,,三国志,卷22,時曹爽秉权，將树其黨，徙毓仆射，以侍中何晏代毓。,hanwei,人物
便蕃左右,N,N,,2,2,,,全后汉文,卷三十四,}}侍中便蕃左右，與帝升降，卒思（注：案：《北堂書鈔》引作「切問」。,donghan_bureau,人物
允迁,N,N,,2,2,,,三国志,卷39,」亮尋請禕為參軍，允遷為侍中，領虎賁中郎將，統宿衛親兵。,hanwei,人物;制度+人物
元以来,N,N,,2,2,,,汉书,卷059,」及禹誅滅，而安世子孫相繼，自宣、元以來為侍中、中常侍、諸曹散騎、列校尉者凡十餘人。,donghan_late,制度+人物
元帝时,N,N,,2,2,,,后汉书,卷31,曾祖霸，元帝時為侍中。,xihan_addition,人物
军袁隗表,N,N,袁隗,2,2,,,后汉书,卷35,後將軍袁隗表為侍中，以父喪不行。,xihan_addition,人物
劭为,N,N,,2,2,,,后汉书,卷56,及進敗，獻帝即位，拜劭為侍中。,donghan_late,制度+人物
卯延光中,N,N,,2,2,,,后汉书,卷26,卯延光中為侍中，薨，子留嗣。,xihan_addition,人物
去病,N,N,霍去病,2,2,,,汉书,卷055,去病以皇后姊子，年十八為侍中。,xihan_addition,人物
受害節,N,N,,2,2,,,全后汉文,卷六十一,今曹節等放縱爲害，而久在左右，又公兄侍中受害節等，永樂太-{后}-所親知也。,donghan_bureau,人物
吏部,N,N,,2,2,,,三国志,卷22,」遷尚書，转侍中吏部尚書。,hanwei,人物
君卿,N,N,,2,2,,,汉书,卷068,爲書曰「皇帝問侍中君卿：使中御府令高昌奉黃金千斤，賜君卿取十妻。,xihan_addition,人物
和帝时,N,N,,2,2,,,后汉书,卷16,昌安侯襲嗣子藩，亦尚顯宗女平臯長公主，和帝時為侍中。,donghan_mid,人物
奏陛下,N,N,,2,2,,,全汉文,卷四十五,語不可露，願具書所言，因侍中奏陛下，㠯示腹心大臣。,donghan_bureau,人物
女婿甄邯,N,N,甄邯,2,2,,,汉书,卷099上,莽以大司徒孔光名儒，相三主，太后所敬，天下信之，於是盛尊事光，引光女婿甄邯為侍中奉車都尉。,xihan_addition,人物
子淳于长,N,N,淳于长,2,2,,,汉书,卷097下,太后姊子淳于長為侍中，數往來傳語，得太后指，上立封趙婕妤父臨為成陽侯。,xihan_addition,人物
安帝征康,N,N,,2,2,,,后汉书,卷16,及從兄騭誅，安帝征康為侍中。,xihan_addition,人物
宾客益衰,N,N,,2,2,,,史记,第四十七章-魏其武安侯列传,”灌夫家居虽富，然失势，卿相侍中宾客益衰。,xihan_addition,人物
屯骑,N,N,,2,2,,,后汉书,卷26,卒，子無忌嗣，亦傳家學，博物多識，順帝時，為侍中屯騎校尉。,xihan_addition,人物
左蟬右貂,N,N,,2,2,,,全后汉文,卷三十四,）侍中左蟬右貂，本秦丞相史往來殿中，故謂之侍中。,origin,制度+人物
平王凤,N,N,王凤,2,2,,,汉书,卷019,」）||||陽平侯王鳳為侍中衞尉，三年遷。,xihan_addition,人物
年十八,N,N,,2,2,,,汉书,卷055,去病以皇后姊子，年十八為侍中。,xihan_addition,人物
廷尉,N,N,,2,2,,,三国志,卷13,爽旣誅，入爲御史中丞、侍中廷尉。,hanwei,人物
弱冠,N,N,,2,2,,,三国志,卷36,弱冠為侍中、中監軍，數歲卒。,hanwei,人物
征立,N,N,,2,2,,,三国志,卷40,二十四年，先主為漢中王，徵立為侍中。,hanwei,人物
征还,N,N,,2,2,,,后汉书,卷54,征還為侍中﹑五官中郎將，遷穎川﹑南陽太守，復拜侍中，三遷永樂少府﹑太僕﹑衛尉。,donghan_bureau,制度+人物
徙昭,N,N,,2,2,,,三国志,卷14,二年，分邑百戶，賜昭弟訪爵關內侯，徙昭為侍中。,hanwei,人物
復以資,N,N,,2,2,,,三国志,卷14,」）曹爽誅後，復以資為侍中，領中書令。,hanwei,人物
復入,N,N,,2,2,,,后汉书,卷116,王莽秉政，侍中復入，與中官共止。,wangmang,人物;制度+人物
拜劭,N,N,,2,2,,,后汉书,卷56,及進敗，獻帝即位，拜劭為侍中。,donghan_late,制度+人物
时弟丕亦,N,N,,2,2,,,后汉书,卷25,時弟丕亦為侍中。,xihan_addition,人物
桓帝时,N,N,,2,2,,,后汉书,卷16,榮少知名，桓帝時為侍中。,donghan_late,人物
永元中,N,N,,2,2,,,后汉书,卷15,來歷歷字伯珍，少襲爵，以公主子，永元中為侍中，監羽林右騎。,xihan_addition,人物
汝南伍瓊,N,N,,2,2,,,后汉书,卷72,乃任吏部尚書漢陽周珌、侍中汝南伍瓊、（注：《英雄記》「珌」作「毖」，字仲遠，武威人。,xihan_addition,人物
沛国施延,N,N,施延,2,2,,,后汉书,卷46,」書御，有詔拜有道高第士沛國施延為侍中，延後位至太尉。,xihan_addition,人物
涉爲,N,N,,2,2,,,汉书,卷068,」）敞子涉本爲左曹，上拜涉爲侍中，使待幸綠車載送衞尉舍。,xihan_addition,人物
