name,hits,strong,sample,book
上疾篤,1,0,行幸盩厔五祚宫上疾篤侍中光禄大夫霍光問嗣¶,前汉纪
不实勑,1,0,小各有差餓死者甚衆帝疑廪賦不實勑侍中劉艾¶,后汉纪
不疑爲,1,0,世故敢布腹心觸罪歸誠上許之以不疑爲侍中奉¶,后汉纪
不窮戴,1,0,十餘席故京師為之語曰解經不窮戴侍中¶,東观汉记
不罪兾,1,0,盈朝上雖信綱言然卒不罪兾侍中杜喬奏免陳留¶,后汉纪
中其后,1,0,數十人侍中中常侍皆加官得入禁中其後侍中或¶,前汉纪
为檢校,1,0,授左庶子而碑作右庻子傳言為檢校侍中攝吏部尚書¶,金石录
也八月,1,0,封操萬三千戶平幽兾之功也八月侍中荀悅撰政¶,后汉纪
也又據,1,0,辭讓往返三四而後受也又據侍中劉廙奏問太史令¶,集古录
书臧報,1,0,）與侍中從弟安國書臧報侍中相知，忿俗儒淫辭冒義，有意欲校亂反正，由來久矣。,全汉文
事擢爲,1,0,以明經數幸言事擢爲侍中從更始入關茂與盆子¶,后汉纪
二月封,1,0,必亡矣二月封侍中衛尉淳于長爲定陵侯三月行¶,前汉纪
云入登,1,0,士未嘗拜也碑於長史下遂云入登侍中延熹八年地¶,集古录
云迁,1,0,云遷侍中其前自長史入登侍中史闕書也碑又云固¶,集古录
人其余,1,0,三人中二千石十四人州牧郡守四十八人其餘侍中¶,東观汉记
人拜商,1,0,臣未甞見之於是以爲貴人拜商侍中屯騎校尉貴¶,后汉纪
令奉引,1,0,法駕公卿不在鹵簿中，唯河南尹執金吾，洛陽令奉引，侍中參乗，奉車郎禦屬，車三十六乗。,獨斷
任延,1,0,王劉祉尚書任延君侍中劉恭歩將更始至髙陵嚴¶,后汉纪
使持莭,1,0,右偽漢劉雄碑其額題漢故使持莭侍中太宰司徒公右¶,金石录
傕书問,1,0,温與傕書問侍中當洽曰傕不知臧否温言大切可¶,后汉纪
兄子雲,1,0,光兄子雲侍中奉車都尉雲弟樂平侯山領尚書事¶,前汉纪
兄識爲,1,0,父隆爲宣恩侯以兄識爲侍中封元庻侯識弟興爲¶,后汉纪
冐名爲,1,0,謙讓唯孫氏宗親相冐名爲侍中中郞校尉守長吏¶,后汉纪
冬十月,1,0,贖死夏五月京都旱冬十月侍中竇憲爲車騎將軍¶,后汉纪
凤爲,1,0,陽侯隲子鳳爲侍中初都護任尚致鳳馬及尚坐事¶,后汉纪
刘向,1,0,時蕭望之周堪劉向及侍中金敞安上子中正敢言¶,前汉纪
刘文前,1,0,非也左右皆將㦸欲交侍中劉文前曰是天子也使¶,后汉纪
十三爲,1,0,羊洛陽賈人子以能心計年十三爲侍中言利事皆¶,前汉纪
卒復命,1,0,珍等卒復命侍中伏無忌與諫議大夫黄景¶,東观汉记
可辨者,1,0,可辨者侍中議郎從事史中郎將數十人兩碑俱有¶,隶续
史丹爲,1,0,史丹爲侍中。,全后汉文
史云自,1,0,部尚書而史皆不載史云自侍中拜尚書左僕射同中門¶,金石录
右贤兄,1,0,天下害而久今在左右賢兄侍中常爲節所害可表¶,后汉纪
君冠賜,1,0,太傅胡公說曰：趙武靈王效胡服，始施貂蟬，鼠尾飾之，趙以其君冠賜侍中。,獨斷
吾伏完,1,0,吾伏完侍中种輯羅邵尚書文楨郭浦中丞楊衆侍¶,后汉纪
唯憲至,1,0,唯憲至侍中虎賁郞將焉景瓌皆黃門郞秋八月辛¶,后汉纪
圖我乎,1,0,中皆持刀欲圖我乎侍中曰軍中自爾國家之故事¶,后汉纪
复征入,1,0,数月，复征入侍中。,汉书
夫周举,1,0,而棄之於末也光禄大夫周舉侍中杜喬深沉正直¶,后汉纪
夫张綱,1,0,遣八使秋八月遣光禄大夫張綱侍中杜喬等八人¶,后汉纪
孙爲,1,0,后之舅史恭之孫爲侍中護太子家於是丹進曰所¶,前汉纪
孝桓末,1,0,孝桓末，侍中皇權參乘，問︰「貂蟬何法？,全后汉文
官志,1,0,(次亦/如之)侍中中常侍光禄大夫秩皆二千石(案司馬彪百/官志侍中光)¶,東观汉记
居注又,1,0,及𧺫居注又侍中傳皆不載其卒也傳云贈小宗伯而碑¶,金石录
崇以爲,1,0,臣所制上乃下詔封商崇以爲侍中董賢貴寵過度¶,前汉纪
崇侈靡,1,0,餘級叛者乞降是時朝政多僻競崇侈靡侍中張衡¶,后汉纪
州六月,1,0,兗州六月侍中楊琦黄門侍郎丁沖鍾繇尚書左丞¶,后汉纪
師地震,1,0,大赦夏四月丙辰京師地震侍中寺雌鷄一身皆成¶,后汉纪
常伯,1,0,」常伯，侍中。,后汉书
平世爲,1,0,遊讌得幸而純以學行稱哀平世爲侍中諸曹校尉¶,后汉纪
弘议問,1,0,小單于不當怨乎上以弘議問侍中竇憲對曰曰禮¶,后汉纪
张孟諫,1,0,樂甘於啖䏑遂拂衣而出侍中張孟諫曰聞足下面¶,后汉纪
徒赵温,1,0,也必有異心於是太尉楊彪司徒趙温侍中劉艾尚¶,后汉纪
得周鼎,1,0,寸髙三尺六寸羣臣伏賀曰陛下得周鼎侍中光祿¶,前汉纪
得巳令,1,0,將欲言事更始醉不能見請者數來不得巳令侍中¶,后汉纪
復征入,1,0,數月，復徵入侍中。,汉书
