name_simple,status,in_db,in_card,person_id,dynasty_db,hits,strong,sample_book,sample_juan,sample_sentence,all_books
帝时为,拟补_待审,N,N,,,31,0,三国志,卷60.txt,齐伯父纯，儒学有重名，汉安帝时为侍中、江夏太守，去官，与江夏黄琼、〔广汉〕杨厚俱公车徵。,三国志;后汉书;汉书
禄大夫,拟补_待审,N,N,,,27,0,全汉文,卷二十七.txt,武帝時，待詔，遷侍中中郎，坐法免，復召爲郎，拜東郡都尉，入爲光祿大夫侍中，後坐事誅。,全汉文;前汉纪;汉书
马都尉,拟补_待审,N,N,,,24,0,全汉文,卷四十三.txt,元帝時，拜駙馬都尉侍中。,全汉文;汉书
辛毗,拟补_待审,N,N,,,19,19,三国志,卷02.txt,」於是侍中辛毗、劉曄、散騎常侍傅巽、衞臻、尚書令桓階、尚書陳矯、陳羣、給事中博士騎都尉蘇林、董巴等奏曰：「伏見太史丞許芝上魏國受命之符；,三国志;魏书
诸曹,拟补_待审,N,N,,,18,4,汉书,第五十四章-王商史丹傅喜传.txt,今商无尺寸之功，而有三世之宠，身位三公，宗族为列侯、吏二千石、侍中诸曹，给事禁门内，连昏诸侯王，权宠至盛。,全汉文;汉书
杜喬,拟补_待审,N,N,,,17,17,三国志,卷45.txt,【漢安元年】，拜光祿大夫，與侍中杜喬等八人同日受詔，持節分出，案行天下貪廉，墨綬有罪便收，刺史二千石以驛表聞，威惠清忠，名振郡國，號曰八雋。,三国志;全后汉文;后汉书;后汉纪
为卫尉,拟补_待审,N,N,,,15,0,汉书,卷098.txt,長子鳳嗣侯，為衛尉侍中，皇-{后}-自有子後，希復進見。,汉书
刘廙,已在库,Y,Y,P0028,汉魏之际,15,0,三国志,卷02.txt,」魏王侍中劉廙、辛毗、劉曄、尚書令桓階、尚書陳矯、陳羣、給事黃門侍郎王毖、董遇等言：「臣伏讀左中郎將李伏上事，考圖緯之言，以效神明之應，稽之古代，未有不然者也。,三国志;隶释;集古录
后为,拟补_待审,N,N,,,15,0,三国志,卷35.txt,」後為侍中，守中書令。,三国志;后汉书
淳于恭,已在库,Y,Y,P0128,东汉,14,14,后汉书,卷3.txt,」）侍中淳于恭奏，帝親稱制臨決，如孝宣甘露石渠故事，作白虎議奏。,后汉书;東观汉记
贾逵,已在库,Y,Y,P0192,东汉,14,6,后汉书,卷25.txt,和帝因朝會，召見諸儒，丕與侍中賈逵、尚書令黃香等相難數事，帝善丕說，罷朝，特賜冠幘履襪衣一襲。,后汉书;東观汉记
二千石,拟补_待审,N,N,,,13,0,全汉文,卷四十九.txt,今商無尺寸之功，而有三世之寵，身位三公，宗族爲列矦、吏二千石、侍中諸曹，給事禁門內，連昏諸矦王，權寵至盛。,全汉文;前汉纪;后汉书;汉书
再迁为,拟补_待审,N,N,,,13,0,后汉书,卷27.txt,建和初，四府表薦，征拜議郎，侍講禁內，再遷為侍中。,后汉书
上使,拟补_待审,N,N,,,12,0,三国志,卷11.txt,上使侍中宣意曰：『君守平原日淺，故復試君三輔，非有所閒也。,三国志;全汉文;汉书
将军素,拟补_待审,N,N,,,12,0,史记,卷115.txt,左將軍素侍中，幸，將燕代卒，悍，乘勝，軍多驕。,史记;汉书
将军青,拟补_待审,N,N,,,12,0,史记,卷120.txt,」大將軍青侍中，上踞廁而視之。,史记;汉书
光中为,拟补_待审,N,N,,,11,0,后汉书,卷26.txt,卯延光中為侍中，薨，子留嗣。,后汉书
和帝时,拟补_待审,N,N,,,11,3,后汉书,第六章-邓寇列传.txt,昌安侯袭嗣子藩，亦尚显宗女平皋长公主，和帝时为侍中。,后汉书
三迁为,拟补_待审,N,N,,,10,0,后汉书,卷30上.txt,及至，拜議郎，三遷為侍中，特蒙引見，訪以時政。,后汉书
与严助,拟补_待审,N,N,,,10,0,汉书,卷064上.txt,」）拜買臣爲中大夫，與嚴助俱侍中。,汉书
卿大夫,拟补_待审,N,N,,,10,0,汉书,卷099下.txt,莽就車，之漸臺，欲阻池水，猶抱持符命、威斗，公卿大夫、侍中、黃門郎從官尚千餘人隨之。,前汉纪;汉书
子璜为,拟补_待审,N,N,,,10,0,后汉书,卷72.txt,）以弟旻為左將軍，封鄠侯，兄子璜為侍中、中軍校尉，皆典兵事。,三国志;后汉书
官至,拟补_待审,N,N,,,10,0,三国志,卷18.txt,重子式，字景則，官至侍中。,三国志;后汉书
拜劭为,拟补_待审,N,N,,,10,0,后汉书,卷56.txt,及進敗，獻帝即位，拜劭為侍中。,后汉书
灵帝时,拟补_待审,N,N,,,10,3,后汉书,第四十七章-杨震列传.txt,牧孙奇，灵帝时为侍中，帝尝从容问奇曰：“朕何如桓帝？,全后汉文;后汉书
王沈,已在库,Y,Y,P0144,魏,10,10,三国志,卷04.txt,」傅暢《晉諸公贊》曰：帝常與中護軍司馬望、侍中王沈、散騎常侍裴秀、黃門侍郎鍾會等講宴於東堂，并屬文論。,三国志
金安上,已在库,Y,Y,P0218,西汉,10,10,全汉文,卷五.txt,男子張章先發覺，㠯語期門董忠，忠告左曹楊惲，惲告侍中金安上。,全汉文;汉书
马宇,已在库,Y,Y,P0252,东汉,10,4,三国志,卷06.txt,侍中馬宇與諫議大夫种邵、左中郎將劉範等謀，欲使騰襲長安，己爲內應，以誅傕等。,三国志;后汉书
允迁为,拟补_待审,N,N,,,9,0,三国志,卷39.txt,」亮尋請禕為參軍，允遷為侍中，領虎賁中郎將，統宿衛親兵。,三国志
刁玄,拟补_待审,N,N,,,9,9,三国志,卷48.txt,」黃門不服，侍中刁玄、張邠啟：「黃門、藏吏辭語不同，請付獄推盡。,三国志;吴书
又再迁,拟补_待审,N,N,,,9,0,全后汉文,卷六十四.txt,【永興二年】，舉賢良方正，對策第一，拜議郎，再遷尚書，又再遷侍中、虎賁中郎將。,全后汉文;后汉书
和为,拟补_待审,N,N,,,9,0,三国志,卷08.txt,）虞子和為侍中，在長安。,三国志;后汉书
属旧恩,拟补_待审,N,N,,,9,0,全汉文,卷六.txt,（注：《漢書‧黃霸傳》︰「樂陵矦史高㠯外屬舊恩，侍中，貴重，霸薦高可太尉。,全汉文;汉书
征放为,拟补_待审,N,N,,,9,0,汉书,卷059.txt,後復徵放為侍中光祿大夫，秩中二千石。,汉书
祕书监,拟补_待审,N,N,,,9,0,三国志,卷10.txt,建安初爲祕書監侍中，被詔刪《漢書》作《漢紀》三十篇，因事以明臧否，致有典要；,三国志;全后汉文;前汉纪
窦憲,拟补_待审,N,N,,,9,0,后汉书,卷33.txt,在位四年，奏尚書張林阿附侍中竇憲，而素行臧穢，又上洛陽令楊光，憲之賓客，在官貪殘，並不宜處位。,后汉书;后汉纪
议大夫,拟补_待审,N,N,,,9,0,全后汉文,卷七十九.txt,季㠯高第爲侍-{御}-史、諫議大夫、侍中、虎賁中郎將、陳畱太守。,全后汉文;后汉书
典校书,拟补_待审,N,N,,,8,0,全后汉文,卷五十六.txt,至順帝時，平子爲侍中典校書，方作《周官解說》，乃欲㠯漢次述漢事，會復遷河間相，遂莫能立也。,全后汉文;后汉书
刘瑜,已在库,Y,Y,P0038,东汉,8,4,后汉书,卷69.txt,武於是引同志尹勳為尚書令，劉瑜為侍中，馮述為屯騎校尉；,后汉书
十八为,拟补_待审,N,N,,,8,0,汉书,卷055.txt,去病以皇后姊子，年十八為侍中。,汉书
又公兄,拟补_待审,N,N,,,8,0,全后汉文,卷六十一.txt,今曹節等放縱爲害，而久在左右，又公兄侍中受害節等，永樂太-{后}-所親知也。,全后汉文;后汉书
太后弟,拟补_待审,N,N,,,8,0,汉书,卷011.txt,追諡滿父忠為平周懷侯，皇后父晏為孔鄉侯，皇太后弟侍中光祿大夫趙欽為新成侯。,汉书
帝时爲,拟补_待审,N,N,,,8,0,三国志,卷06.txt,文帝時爲侍中，太和中卒，巽在荊州，目龐統爲半英雄，證裴潛終以清行顯；,三国志;后汉纪;汉书
平子爲,拟补_待审,N,N,,,8,0,全后汉文,卷五十六.txt,至順帝時，平子爲侍中典校書，方作《周官解說》，乃欲㠯漢次述漢事，會復遷河間相，遂莫能立也。,全后汉文;后汉书
年十三,拟补_待审,N,N,,,8,0,史记,卷030.txt,弘羊，雒陽賈人子，以心計，年十三侍中。,史记;汉书
年十八,拟补_待审,N,N,,,8,8,汉书,卷055.txt,去病以皇后姊子，年十八為侍中。,汉书
征还为,拟补_待审,N,N,,,8,0,后汉书,卷54.txt,征還為侍中﹑五官中郎將，遷穎川﹑南陽太守，復拜侍中，三遷永樂少府﹑太僕﹑衛尉。,后汉书
桓帝时,拟补_待审,N,N,,,8,2,后汉书,第六章-邓寇列传.txt,荣少知名，桓帝时为侍中。,全后汉文;后汉书
自以为,拟补_待审,N,N,,,8,0,史记,卷091.txt,布所幸姬疾，請就醫，醫家與中大夫賁赫對門，姬數如醫家，賁赫自以為侍中，乃厚餽遺，從姬飲醫家。,史记
金敞,已在库,Y,Y,P0219,西汉,8,8,汉书,卷078.txt,望之選白宗室明經達學散騎諫大夫劉更生給事中，與侍中金敞並拾遺左右。,汉书
长为,拟补_待审,N,N,,,8,0,汉书,卷097下.txt,太后姊子淳于長為侍中，數往來傳語，得太后指，上立封趙婕妤父臨為成陽侯。,汉书
上乃拜,拟补_待审,N,N,,,7,0,汉书,卷069.txt,上乃拜侍中樂成侯許延壽爲強弩將軍，即拜酒泉太守武賢爲破羌將軍，賜璽書嘉納其冊。,前汉纪;汉书
代允为,拟补_待审,N,N,,,7,0,三国志,卷39.txt,）===陳祗===陳祗代允為侍中，與黃皓互相表裡，皓始預政事。,三国志
刘曄,拟补_待审,N,N,,,7,0,三国志,卷03.txt,居數日，獨見侍中劉曄，語盡日。,三国志
十一为,拟补_待审,N,N,,,7,0,三国志,卷29.txt,璩六十一為侍中，直省內，欻見白狗，問之眾人，悉無見者。,三国志
孙峻,已在库,Y,Y,P0064,吴,7,2,三国志,卷59.txt,權患之，謂侍中孫峻曰：「子弟不睦，臣下分部，將有袁氏之敗，爲天下笑。,三国志
安国爲,拟补_待审,N,N,,,7,0,全后汉文,卷三十四.txt,武帝時，孔安國爲侍中，㠯其儒者，特聽掌-{御}-坐唾壺，朝廷榮之。,全后汉文;后汉书
封贺,拟补_待审,N,N,,,7,0,全汉文,卷六.txt,』其封賀子侍中關內矦彭祖」。,全汉文;前汉纪;汉书
尉许舜,拟补_待审,N,N,,,7,0,全汉文,卷六.txt,）==封丙吉等詔==朕微眇時，御史大夫丙吉、中郎將史曾、史玄、長樂衞尉許舜、侍中光祿大夫許延壽皆與朕有舊恩，及故掖庭令張賀輔導朕躬，修文學經術，恩惠卓異，厥功茂焉。,全汉文;前汉纪;汉书
庙之灵,拟补_待审,N,N,,,7,0,全汉文,卷九.txt,賴宗廟之靈，侍中駙馬都尉賢等發覺㠯聞，咸伏其辜。,全汉文;汉书
引瑜为,拟补_待审,N,N,,,7,0,后汉书,卷57.txt,及帝崩，大將軍竇武欲大誅宦官，乃引瑜為侍中，又以侍中尹勳為尚書令，共同謀畫。,列传;后汉书
弟青为,拟补_待审,N,N,,,7,0,史记,卷049.txt,召其兄衛長君弟青為侍中。,史记
张辟彊,已在库,Y,Y,P0090,西汉,7,2,史记,卷009.txt,留侯子張辟彊為侍中，年十五，謂丞相曰：「太后獨有孝惠，今崩，哭不悲，君知其解乎？,史记;汉书
弱冠为,拟补_待审,N,N,,,7,0,三国志,卷36.txt,弱冠為侍中、中監軍，數歲卒。,三国志
征康为,拟补_待审,N,N,,,7,0,后汉书,卷16.txt,及從兄騭誅，安帝征康為侍中。,后汉书
征立为,拟补_待审,N,N,,,7,0,三国志,卷40.txt,二十四年，先主為漢中王，徵立為侍中。,三国志
徙昭为,拟补_待审,N,N,,,7,0,三国志,卷14.txt,二年，分邑百戶，賜昭弟訪爵關內侯，徙昭為侍中。,三国志
拜举为,拟补_待审,N,N,,,7,0,后汉书,卷61.txt,」時詔遣八使巡行風俗，皆選素有威名者，乃拜舉為侍中，舉侍中杜喬、守光祿大夫周栩、前青州刺史馮羨、尚書欒巴、侍御史張綱、兗州刺史郭遵、太尉長史劉班並守光祿大夫，分行天下。,后汉书
操以为,拟补_待审,N,N,,,7,0,后汉书,卷74下.txt,義以疾退，終表世不仕，操以為侍中。,列传;后汉书
施延为,拟补_待审,N,N,,,7,0,后汉书,卷46.txt,」書御，有詔拜有道高第士沛國施延為侍中，延後位至太尉。,后汉书
果拜嵩,拟补_待审,N,N,,,7,0,后汉书,卷74下.txt,至許，果拜嵩侍中、零陵太守。,列传;后汉书
父任为,拟补_待审,N,N,,,7,0,汉书,卷071.txt,少時，耆酒多過失，年且三十，乃折節修行，以父任為侍中中郎將、長水校尉。,汉书
王輔,拟补_待审,N,N,,,7,7,全后汉文,卷七.txt,深恐在所慢違「如在」之義，今遣侍中王輔等，持節分詣岱山、東海、滎陽、河、洛，盡心祈焉。,全后汉文;后汉书
甄邯为,拟补_待审,N,N,,,7,0,汉书,卷099上.txt,莽以大司徒孔光名儒，相三主，太后所敬，天下信之，於是盛尊事光，引光女婿甄邯為侍中奉車都尉。,汉书
石六人,拟补_待审,N,N,,,7,0,汉书,卷097下.txt,鄭氏、傅氏侯者凡六人，大司馬二人，九卿二千石六人，侍中諸曹十餘人。,汉书
窦宪,已在库,Y,Y,P0161,东汉,7,7,后汉书,第三十九章-郭陈列传.txt,皇后弟侍中窦宪，荐真定令张林为尚书，帝以问宠，宠对“林虽有才能，而素行贪浊”，宪以此深恨宠。,列传;后汉书
辟彊为,拟补_待审,N,N,,,7,0,史记,卷009.txt,留侯子張辟彊為侍中，年十五，謂丞相曰：「太后獨有孝惠，今崩，哭不悲，君知其解乎？,史记;汉书
迎荐为,拟补_待审,N,N,,,7,0,后汉书,卷62.txt,進恐其不至，迎薦為侍中，及進敗而詔命中絕。,后汉书
世子常,拟补_待审,N,N,,,6,0,史记,卷049.txt,四子，長子伉為侯世子，侯世子常侍中，貴幸。,史记
为元帝,拟补_待审,N,N,,,6,0,汉书,卷009.txt,==【贊】==贊曰：臣外祖兄弟為元帝侍中，語臣曰元帝多材藝，善史書。,汉书
为太仆,拟补_待审,N,N,,,6,0,史记,卷020.txt,子延壽代立，為太僕，侍中。,史记;汉书
为左曹,拟补_待审,N,N,,,6,0,后汉书,卷21.txt,復為左曹侍中，常從征伐。,后汉书
冀州牧,拟补_待审,N,N,,,6,0,三国志,卷38.txt,進用颍川荀爽、韓融、陳紀等為公、卿、郡守，拜尚書韓馥為冀州牧，侍中劉岱為兗州剌史，颍川張咨為南陽太守，陳留孔伷為豫州剌史，東郡張邈為陳留太守，而遷靖巴郡太守，不就，補御史中丞。,三国志;蜀书
军从弟,拟补_待审,N,N,,,6,0,全汉文,卷九.txt,將軍從弟侍中奉車都尉吳、族父左曹屯騎校尉宣皆知宏及栩丹諸矦王后親，而宣除用丹爲御屬。,全汉文;汉书
出禁外,拟补_待审,N,N,,,6,0,后汉书,卷116.txt,又侍中舊與中官俱止禁中，武帝時，侍中莽何羅挾刃謀逆，由是侍中出禁外，有事乃入，畢即出。,后汉书
刘珍,已在库,Y,Y,P0037,东汉,6,3,后汉书,卷55.txt,又遣中常侍奉太牢祠典，護禮儀侍中劉珍等及宗室列侯皆往會事。,列传;后汉书
