cand_row,book,juan,sentence,person,status,note
117,史記,第三十一章:黥布列传,布所幸姬疾，请就医，医家与中大夫贲赫对门，姬数如医家，贲赫自以为侍中，乃厚餽遗，从姬饮医家。,,待审,
122,史記,第二十七章:李斯列传,赵高使其客十馀辈诈为御史、谒者、侍中，更往覆讯斯。,,待审,
123,史記,第五十一章:卫将军骠骑列传,上闻，乃召青为建章监，侍中，及同母昆弟贵，赏赐数日间累千金。,,待审,
125,史記,第五十一章:卫将军骠骑列传,然少而侍中，贵，不省士。,,待审,
126,史記,第五十一章:卫将军骠骑列传,以御见，侍中，为校尉，数从大将军。,,待审,
127,史記,第五十五章:朝鲜列传,左将军素侍中，幸，将燕代卒，悍，乘胜，军多骄。,,待审,
128,史記,第六十二章:酷吏列传,庄助使人言买臣，买臣以楚辞与助俱幸，侍中，为太中大夫，用事；,,待审,
131,史記,第六十章:汲郑列传,大将军青侍中，上踞厕而视之。,,待审,
133,史記,第二十八章:梁孝王世家,梁之侍中、郎、谒者著籍引出入天子殿门，与汉宦官无异。,,待审,
134,史記,第十九章:外戚世家,召其兄卫长君弟青为侍中。,,待审,
135,史記,第十九章:外戚世家,四子，长子伉为侯世子，侯世子常侍中，贵幸。,,待审,
1068,史記,020,|金翁叔名日磾，以匈奴休屠王太子從渾邪王將眾五萬，降漢歸義，侍中，事武帝，覺捕侍中謀反者馬何羅等功侯，三千戶。,,待审,
1070,史記,020,以父桀為將軍故貴，侍中，事昭帝。,,待审,
1072,史記,020,入侍中，授昭帝韓詩，為御史大夫。,,待审,
1073,史記,020,通詩、禮、尚書，為博士，授魯大儒，入侍中，為昭帝師，遷為光祿大夫，大鴻臚，長信少府。,,待审,
1074,史記,020,以隴西騎士從軍得官，侍中，事武帝。,,待审,
1075,史記,020,數將兵擊匈奴有功，為護軍都尉，侍中，事昭帝。,,待审,
1076,史記,020,侍中，事昭帝。,,待审,
1077,史記,020,以宣帝大母家貴，侍中，重厚忠信。,,待审,
1080,史記,022,|二月丁卯，侍中、中郎將霍禹為右將軍。,,待审,
1081,史記,022,|右將軍平恩侯許嘉為車騎將軍，侍中、光祿大夫樂昌侯王商為右將軍，右將軍馮奉世為左將軍。,,待审,
1087,史記,049,召其兄衛長君弟青為侍中。,,待审,
1088,史記,049,四子，長子伉為侯世子，侯世子常侍中，貴幸。,,待审,
1089,史記,058,梁之侍中、郎、謁者著籍引出入天子殿門，與漢宦官無異。,,待审,
1093,史記,087,趙高使其客十餘輩詐為御史、謁者、侍中，更往覆訊斯。,,待审,
1094,史記,091,布所幸姬疾，請就醫，醫家與中大夫賁赫對門，姬數如醫家，賁赫自以為侍中，乃厚餽遺，從姬飲醫家。,,待审,
1097,史記,111,上聞，乃召青為建章監，侍中，及同母昆弟貴，賞賜數日閒累千金。,,待审,
1099,史記,111,然少而侍中，貴，不省士。,,待审,
1100,史記,111,以御見，侍中，為校尉，數從大將軍。,,待审,
1101,史記,115,左將軍素侍中，幸，將燕代卒，悍，乘勝，軍多驕。,,待审,
1102,史記,120,大將軍青侍中，上踞廁而視之。,,待审,
1103,史記,122,莊助使人言買臣，買臣以楚辭與助倶幸，侍中，爲太中大夫，用事；,,待审,
380,漢書,第七十七章:王莽传下,乃拜侍中掌牧大夫李棽为大将军、扬州牧，赐名圣，使将兵奋击。,,待审,
381,漢書,第七十七章:王莽传下,因赐治庙者司徒、大司空饯客千万，侍中、中常侍以下皆封。,,待审,
383,漢書,第七十七章:王莽传下,”伊休侯者，歆长子也，为侍中五官中朗将，莽素爱之。,,待审,
386,漢書,第七十七章:王莽传下,三日庚戌，晨旦明，群臣扶掖莽，自前殿南下椒除，西出白虎门，和新公王揖奉车待门外，莽就车，之渐台，欲阻池水，犹抱持符命、威斗，公、卿、大夫、侍中、黄门郎从官尚千余人随之。,,待审,
391,漢書,第七十三章:外戚传下,丁氏侯者凡二人，大司马一人，将军、九卿、二千石六人，侍中、诸曹亦十余人。,,待审,
394,漢書,第七十二章:外戚传上,上以为忠，由是亲近，为侍中，稍迁至太仆。,,待审,
397,漢書,第七十五章:王莽传上,莽以大司徒孔光名儒，相三主，太后所敬，天下信之，于是盛尊事光，引光女婿甄邯为侍中奉车都尉。,,待审,
399,漢書,第七十五章:王莽传上,及为侍中，故定陵侯淳于长有大逆罪，公不敢私，建白诛讨。,,待审,
404,漢書,第七十八章:叙传上,”是时，许商为少府，师丹为光禄大夫，上于是引商、丹入为光禄勋，伯迁水衡都尉，与两师并侍中，皆秩中二千石。,,待审,
405,漢書,第七十六章:王莽传中,是日，封拜卿大夫、侍中、尚书官凡数百人。,,待审,
406,漢書,第七十六章:王莽传中,时子寻为侍中京兆大君茂德侯，即作符命，言新室当分陕，立二伯，以丰为右伯，太傅平晏为左伯，如周、召故事。,,待审,
408,漢書,第七十六章:王莽传中,又置师友祭酒及侍中、谏议、《六经》祭酒各一人，凡九祭酒，秩上卿。,,待审,
409,漢書,第七十六章:王莽传中,宁始将军姚恂免，侍中、崇禄侯孔永为宁始将军。,,待审,
412,漢書,第七十六章:王莽传中,太傅平晏勿领尚书事，省侍中、诸曹兼官者。,,待审,
414,漢書,第七十四章:元后传,长子凤嗣侯，为卫尉侍中，皇后自有子后，希复进见。,,待审,
416,漢書,第七十四章:元后传,”以参为侍中水衡都尉。,,待审,
417,漢書,第七十四章:元后传,王氏子弟皆卿、大夫、侍中、诸曹，分据势官满朝廷。,,待审,
421,漢書,第七十四章:元后传,先是，定陵侯淳于长以外属能谋议，为卫尉侍中，在辅政之次。,,待审,
424,漢書,第七十四章:元后传,及根兄子成都侯况幸得以外亲继父为列侯侍中，不思报厚恩，亦聘取故掖庭贵人以为妻，皆无人臣礼，大不敬不道。,,待审,
428,漢書,第三十五章:严朱吾丘主父徐严终王,始，买臣与严助俱侍中，贵用事，汤尚为小吏，趋走买臣等前。,,待审,
429,漢書,第三十五章:严朱吾丘主父徐严终王,迁侍中中郎，坐法免。,,待审,
433,漢書,第三十六章:严朱吾丘主父徐严终王,上使侍中、驸马都尉、乐昌侯王商诘问捐之曰：“珠厓内属为郡久矣，今背畔逆节，而云不当击，长蛮夷之乱，亏先帝功德，经义何以处之？,,待审,
438,漢書,第三十章:张汤传,放为侍中、中郎将，监平乐屯兵，置莫府，仪比将军。,,待审,
440,漢書,第三十章:张汤传,后复征放为侍中光禄大夫，秩中二千石。,,待审,
441,漢書,第三十章:张汤传,”及禹诛灭，而安世子孙相继，自宣、元以来为侍中、中常侍、诸曹散骑、列校尉者凡十余人。,,待审,
442,漢書,第三章:魏豹田儋韩王信传,增少为郎，诸曹、侍中、光禄大夫，昭帝时至前将军，与大将军霍光定策立宣帝，益封千户。,,待审,
445,漢書,第二十五章:卫青霍去病传,去病以皇后姊子，年十八为侍中。,,待审,
446,漢書,第二十五章:卫青霍去病传,然少而侍中，贵不省士。,,待审,
447,漢書,第二十五章:卫青霍去病传,荀彘，太原广武人，以御见，侍中，用校尉数从大将军。,,待审,
449,漢書,第二十四章:李广苏建传,陵字少卿，少为侍中建章监。,,待审,
451,漢書,第二十章:张冯汲郑传,大将军青侍中，上踞厕视之。,,待审,
452,漢書,第五十七章:谷永杜邺传,制书侍中、驸马都尉迁不忠巧佞，免归故郡，间未旬月，则有诏还，大臣奏正其罚，卒不得遣，而反兼官奉使，显宠过故。,,待审,
453,漢書,第五十三章:匡张孔马传,光与大司空师丹奏言：“诏书‘侍中、驸马都尉迁巧佞无义，漏泄不忠，国之贼也，免归故郡。,,待审,
