id,name,style_name,dynasty,dynasty_primary,category,origin,birth,death,birth_year,death_year,year_precision,is_外戚,is_士人,is_降人,is_佞幸,is_宦官,is_勋贵,n_terms,n_sources,status
P0001,丁恭,子然,東漢,,士人,山阳东缗,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0002,丁鸿,孝公,東漢,,士人,颍川定陵,阙,134,,,,0,0,0,0,0,0,0,0,待审
P0003,严助,阙,西漢,,士人,会稽吴,阙,前122,,,,0,0,0,0,0,0,0,0,待审
P0004,乐松,阙,東漢,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0005,任安,定祖,東漢,,士人,广汉绵竹,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0006,任芝,阙,東漢,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0007,伍琼,德瑜,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0008,伏完,阙,東漢,,外戚,琅邪东武,阙,209,,,,0,0,0,0,0,0,0,0,待审
P0009,伏无忌,阙,東漢,,士人,琅邪东武,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0010,何休,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0011,何晏,平叔,魏,,外戚/士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0012,何进,遂高,東漢,,外戚,南阳宛,阙,189,,,,0,0,0,0,0,0,0,0,待审
P0013,佚名侍中（禁中出入制度）,—,兩漢,,制度,—,—,—,,,,0,0,0,0,0,0,0,0,待审
P0014,傅俊,子卫,東漢,,勋贵,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0015,傅商,阙,西漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0016,傅喜,稚游,西漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0017,傅嘉,阙,西漢,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0018,傅巽,公悌,漢魏之際,,士人,北地泥阳,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0019,公孙敬聲,阙,西漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0020,关兴,安国,蜀漢,,勋贵,河东解,阙,234,,,,0,0,0,0,0,0,0,0,待审
P0021,关统,阙,蜀漢,,勋贵,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0022,冯石,阙,東漢,,外戚/勋贵,颍川（冯鲂系）,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0023,刘儒,叔林,東漢,,士人,东郡阳平,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0024,刘劭,阙,魏,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0025,刘宽,文饶,東漢,,士人,弘农华阴,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0026,刘岱,公山,東漢,,士人,东莱牟平,阙,192,,,,0,0,0,0,0,0,0,0,待审
P0027,刘平,阙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0028,刘廙,恭嗣,漢魏之際,,士人,南阳安众,阙,221,,,,0,0,0,0,0,0,0,0,待审
P0029,刘恭,阙,更始_東漢,,宗室,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0030,刘放,子弃,魏,,士人,涿郡方城,阙,250,,,,0,0,0,0,0,0,0,0,待审
P0031,刘昆,桓公,東漢,,士人,陈留东昏,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0032,刘晔,子扬,漢魏之際,,士人,淮南成德,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0033,刘棻,阙,新,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0034,刘植,伯先,東漢,,勋贵,巨鹿昌城,阙,26,,,,0,0,0,0,0,0,0,0,待审
P0035,刘歆,子骏,西漢,,士人,楚元王后,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0036,刘淑,仲承,東漢,,士人,河间乐成,阙,169,,,,0,0,0,0,0,0,0,0,待审
P0037,刘珍,秋孙,東漢,,士人,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0038,刘瑜,阙,東漢,,阙,阙,阙,阙,,,,0,0,0,0,0,0,0,0,草稿
P0039,刘瑰,阙,東漢,,外戚,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
P0040,刘能卿,阙,更始,,其他,阙,阙,阙,,,,0,0,0,0,0,0,0,0,待审
