term_id,person_id,name,dynasty_primary,start_ym,end_ym,start_year,end_year,nature,nature_primary,evidence,book,juan,quote_head
15798,P0001,丁恭,,阙,阙,,,有明文,,有明文,後漢書,第七十五章:儒林列传下,二十年，拜侍中祭酒、骑都尉，与侍中刘昆俱在光武左右，每事谘访焉
15799,P0001,丁恭,,阙,阙,,,有明文,,有明文,後漢書,79下,二十年，拜侍中祭酒、騎都尉，與侍中劉昆俱在光武左右，每事諮訪焉
15800,P0002,丁鸿,,阙,阙,,,有明文,,有明文,後漢書,卷67桓荣丁鸿传,頃之，拜侍中
15801,P0002,丁鸿,,阙,阙,,,有明文,,有明文,後漢書,卷67,永元四年，代丁鴻爲太常
15802,P0002,丁鸿,,阙,阙,,,有明文,,有明文,後漢書,卷45,太尉宋由、太常丁鴻、光祿勳耿秉等十人議可許
15803,P0003,严助,,阙,阙,,,有明文,,有明文,漢書,卷64上严朱吾丘传,會邑子嚴助貴幸，薦買臣……與嚴助俱侍中
15804,P0003,严助,,阙,阙,,,有明文,,有明文,漢書,卷64上,始，買臣與嚴助俱侍中，貴用事
15805,P0003,严助,,阙,阙,,,有明文,,有明文,史記,卷122酷吏列传,嚴助及伍被，上欲釋之
15806,P0004,乐松,,阙,阙,,,有明文,,有明文,後漢書,第五十四章:蔡邕列传下,侍中祭酒乐松、贾护，多引无行趣势之徒，并待制鸿都门下，熹陈方俗闾里小事，帝甚悦之，待以不次之位
15807,P0004,乐松,,阙,阙,,,有明文,,有明文,後漢書,60下,侍中祭酒樂松、賈護，多引無行趣埶之徒，並待制鴻都門下，憙陳方俗閭里小事，帝甚悅之，待以不次之位
15808,P0005,任安,,阙,阙,,,有明文,,有明文,後漢書,卷109儒林上,任安字定祖，廣漢綿竹人也
15809,P0005,任安,,阙,阙,,,有明文,,有明文,後漢書,卷109,徵拜議郎，稍遷侍中、弘農太守
15810,P0006,任芝,,阙,阙,,,有明文,,有明文,後漢書,第四十七章:杨震列传,书奏，帝欲止，以问侍中任芝、中常侍乐松
15811,P0006,任芝,,阙,阙,,,有明文,,有明文,後漢書,54,書奏，帝欲止，以問侍中任芝﹑中常侍樂松
15812,P0006,任芝,,阙,阙,,,有明文,,有明文,後漢紀,024,止侍中任芝樂松等曰昔宣王囿五十里民以爲大¶
15813,P0007,伍琼,,阙,阙,,,有明文,,有明文,後漢書,第六十四章:郑孔荀列传,公业等与侍中伍琼、卓长史何颙共说卓，以袁绍为勃海太守，以发山东之谋
15814,P0008,伏完,,阙,阙,,,有明文,,有明文,後漢書,卷10下皇后纪,父完，沉深有大度，襲爵不其侯，尚桓帝女陽安公主，爲侍中
15815,P0008,伏完,,阙,阙,,,有明文,,有明文,後漢書,卷72董卓传,同濟唯皇后、宋貴人、楊彪、董承及后父執金吾伏完等數十人
15816,P0009,伏无忌,,阙,阙,,,有明文,,有明文,後漢書,卷56伏侯宋蔡冯赵牟韦传,順帝時，爲侍中屯騎校尉
15817,P0009,伏无忌,,阙,阙,,,有明文,,有明文,後漢書,卷16邓寇传,永壽中，與伏无忌、延篤著書東觀，官至屯騎校尉
15818,P0010,何休,,阙,阙,,,有明文,,有明文,後漢書,第七十五章:儒林列传下,岁余复征，再迁侍中，卒于官
15819,P0010,何休,,阙,阙,,,有明文,,有明文,後漢書,79下,歲餘复徵，再遷侍中，卒於官
15820,P0011,何晏,,阙,阙,,,有明文,,有明文,三國志,第二十二章:桓二陈徐卫卢传,时曹爽秉权，将树其党，徙毓仆射，以侍中何晏代毓
15821,P0011,何晏,,阙,阙,,,有明文,,有明文,三國志,22,時曹爽秉权，將树其黨，徙毓仆射，以侍中何晏代毓
15822,P0012,何进,,阙,阙,,,有明文,,有明文,後漢書,卷99窦何传,何進字遂高，南陽宛人也
15823,P0012,何进,,阙,阙,,,有明文,,有明文,後漢書,卷99,拜侍中、將作大匠、河南尹
15824,P0013,佚名侍中（禁中出入制度）,,阙,阙,,,有明文,,有明文,後漢書,卷一百十六百官志,又侍中舊與中官俱止禁中，武帝時，侍中莽何羅挾刃謀逆，由是侍中出禁外，有事乃入，畢即出
